beta,CL,CD,CL/CD,CS
0.0,0.6636321372368528,0.06680304196599059,9.93416044698545,-2.4465415304090455e-16
1.0526315789473684,0.6632035477406591,0.06689868198309182,9.91355177831873,-0.019624934506746527
2.1052631578947367,0.6619147726303102,0.06718471690332536,9.852162859936799,-0.03923542661878667
3.1578947368421053,0.6597550991367098,0.06765917059779873,9.751155583307945,-0.058816399369601556
4.2105263157894735,0.6567010628507832,0.06831911245106145,9.61225986829371,-0.07835119803285807
5.263157894736842,0.6527040966897888,0.06915737994946057,9.437952929488906,-0.09781880119462295
6.315789473684211,0.6476421967173623,0.07000391542097384,9.251513902082719,-0.11690470501085846
7.368421052631579,0.641798398963415,0.07083654103941596,9.060272982644587,-0.13614490388081765
8.421052631578947,0.6349338387482576,0.07155081562958689,8.873886805641206,-0.1538699310802911
9.473684210526315,0.6275214720737179,0.07249340593621179,8.656255889340956,-0.17267535794446004
10.526315789473683,0.6192753536420404,0.07349390915358521,8.426213284530814,-0.19057446739468056
11.578947368421051,0.6099722401250476,0.0743969819124148,8.198884208006563,-0.20663108079025763
12.631578947368421,,,,
13.68421052631579,,,,
14.736842105263158,,,,
15.789473684210526,,,,
16.842105263157894,,,,
17.894736842105264,,,,
18.94736842105263,-3191.887504309588,7646.505830250578,-0.417430859946783,2623.1421812084354
20.0,6110.219157236347,-6949.338153338863,-0.8792519549938214,-2526.8881291701355
