beta,CL,CD,CL/CD,CS,CMx,CMy,CMz
0.0,0.6632671289579768,0.06683435728236334,9.92404439764103,8.089690074077281e-16,7.057964659702758e-16,0.1665710671926646,-1.5015242466277122e-16
1.0526315789473684,0.6628550659067146,0.0669319157668548,9.903422878491185,-0.01960572092909913,-0.01832505795757325,0.16645882469537815,-0.0022818446608813157
2.1052631578947367,0.661615837020789,0.06721309587569034,9.843555461936138,-0.03922113271926539,-0.03668936169797797,0.16612508291794967,-0.0045665150333459815
3.1578947368421053,0.6596044666264483,0.06766301926536186,9.748374722085655,-0.058610552538622844,-0.054983190754249324,0.16561305620560712,-0.0068360675995733835
4.2105263157894735,0.6574178807703696,0.06820079812638392,9.639445561210275,-0.07693030319082159,-0.07267235349188991,0.16512501704798122,-0.009246593639037438
5.263157894736842,0.6546571029856602,0.06891251619337942,9.49982875605048,-0.09499540260214386,-0.09021794857888048,0.16451223761120373,-0.011766788487584131
6.315789473684211,0.6512617133659903,0.06977952409143394,9.33313492526296,-0.11282783466871055,-0.10772661940587241,0.1637737519064373,-0.014343278183652568
7.368421052631579,0.6474222741249173,0.07063239496357783,9.16608129256789,-0.13024672788029995,-0.12503840643343497,0.16302308663053594,-0.016793272192218572
8.421052631578947,0.6432534360089477,0.07150283424652594,8.99619494510039,-0.14708848902643853,-0.14181532039581,0.16227043352233425,-0.01919200168000495
9.473684210526315,0.6388437411241897,0.07246179983535928,8.81628309779372,-0.16311117156572946,-0.15799109716892473,0.16150715873209492,-0.02171029382871443
10.526315789473683,0.6344171491789643,0.07349780705661917,8.631783376750818,-0.17807422713078094,-0.17351940820330525,0.16075710669088802,-0.024469360552581
11.578947368421051,0.6299044853268716,0.07465614624778416,8.437409603707847,-0.1927785253155325,-0.1885079855890342,0.16002893932639273,-0.027381333674355156
12.631578947368421,0.6248728877315498,0.07591287088503783,8.231448507300627,-0.2065162079041537,-0.2030169600732056,0.15913799390286665,-0.03038820718260286
13.68421052631579,0.61943398818044,0.07724152184143074,8.019443084667301,-0.21959248134105344,-0.21709192780431236,0.1581218021853725,-0.03352063117265725
14.736842105263158,0.6137368555369338,0.07868142330635447,7.800276478823778,-0.23221785489881877,-0.2307809286613037,0.15701304549054737,-0.03669604294059167
15.789473684210526,0.6075403039022264,0.08016525557860475,7.578598727306651,-0.24471317463010123,-0.24382135524514043,0.15582389062712537,-0.04003008216483434
16.842105263157894,0.6012349292304775,0.0817787860884053,7.351966909615467,-0.2579378621129727,-0.25656881499243683,0.154620684417732,-0.0434792645190434
17.894736842105264,0.5944253452766833,0.08355536836365077,7.114149059694376,-0.27004858320893993,-0.267339165281,0.1531468984325564,-0.046576117582625046
18.94736842105263,0.5865313396249519,0.08519828838672092,6.884308954220367,-0.28089704684891076,-0.28120128999822014,0.1513366456565963,-0.0503324954319509
20.0,0.5792490623756912,0.08715966175652477,6.645838805499134,-0.2927226932641278,-0.2913679702762867,0.14966676622520989,-0.05369166839652103
