CMx,CMx_ci,CMy,CMy_ci,CMz,CMz_ci,beta
-0.21283696159203452,0.017386946693326667,-0.018680353358866402,0.025311634975382663,0.14105811144306984,0.01977454056654883,-20.0
-0.17652712291993652,0.024992312450307568,0.03805367741754068,0.02949594762413996,0.14111894809882466,0.022815905705838746,-14.0
-0.14202128566383396,0.02676458830557496,0.062029104398257096,0.03318846281157516,0.17035199666106882,0.02501282409829521,-12.0
-0.161653737394671,0.028482058756820975,0.09096815506572489,0.02896400881543673,0.10576334820094681,0.025575627049920502,-10.0
-0.15291534548879165,0.026451423092739155,0.12692064826163194,0.030467896693928073,0.055227314824196024,0.021760213578357827,-8.0
-0.1044795586323153,0.02734845689912782,0.08546698312885345,0.030756438444053985,0.06125488527209384,0.022597913869832068,-6.0
-0.07503468264187596,0.028906954274236087,0.05293550625504574,0.0336229491345219,0.05608311267341509,0.02371570507488191,-4.0
-0.047660200630998434,0.029741590560181795,0.07463817387313088,0.03320968023226187,0.06006660294101787,0.02482138243071299,-2.0
-0.031064498959052354,0.026435878077875532,0.040483725775264934,0.030624743934931805,0.017439348133279874,0.02286348365355264,0.0
-0.02704693985730326,0.04028027509478227,0.08442639906716781,0.029802336653398646,-0.06754272130723471,0.03190164360724863,2.0
-0.0012346653880915982,0.030925686864308043,0.09152183630750989,0.02917289094652874,-0.08049863111794356,0.026251238425276678,4.0
0.03683921754269996,0.031187855628653217,0.0934908432106008,0.029594623923545407,-0.05048275419409859,0.026922446914739977,6.0
0.0832900846665372,0.025983007268682655,0.1355636291539022,0.02394243012559951,-0.04719175298034414,0.022831411560753582,8.0
0.08783747933295427,0.023154139902674977,0.14047661173979212,0.025072446450610686,-0.10164358704269488,0.02062457400022451,10.0
0.08772026217970855,0.030159210199793677,0.08912579890380742,0.027825477629456807,-0.13498889219159924,0.02702687512828912,12.0
0.10975578684027541,0.025605374054235627,0.05120886387918366,0.026831955563990706,-0.16492970755965647,0.023635351173677276,14.0
0.1646730077244148,0.021269592529871192,0.03472271329375048,0.022380664111997288,-0.1828162857388852,0.021446443458424766,20.0
