beta,CL,CL_stall,CD,CD_stall,CL/CD,CL/CD_stall,CS,CS_stall
0,1.0568258931235985,1.0568258931236072,0.1088604592586168,0.10886045925861682,9.708078583546357,9.708078583546436,8.036271823264322e-17,3.3305882111973244e-16
2,1.0545259119637507,1.0545259119637507,0.10937250145734907,0.10937250145734907,9.64160001748679,9.64160001748679,-0.05729372607401045,-0.05729372607401045
4,1.0476028522621097,1.0476028522621097,0.110861687077048,0.110861687077048,9.449638372669126,9.449638372669126,-0.11417546569155715,-0.11417546569155715
6,1.0360242227920329,1.0367377646877924,0.11317031910438688,0.11209592506608165,9.154557758526925,9.248665944606152,-0.17021919091381996,-0.1886931910597888
8,1.0198719906178582,1.020874323765051,0.11604984262364906,0.11545187090960798,8.788223814532127,8.84242339012709,-0.22495948682648678,-0.24798824974712655
12,0.9741843800283387,0.9772088648979709,0.12319921411532098,0.12777774300331027,7.907391187710424,7.647723632688166,-0.3275914507687617,-0.34196767839511516
14,0.9436008963512564,0.9464046706035585,0.12799408300241913,0.13714027870124776,7.372222795122663,6.900997136408384,-0.353240117725152,-0.36737265474421016
20,0.806950885192416,0.688675203716569,0.1502032361693145,0.13987159225600443,5.372393470156608,4.923624537397839,-0.4026406169384266,-0.2992167720253312
