beta,CL,CD,CL/CD,CS
0,0.6634832291602683,0.06759253624646762,9.815924449719725,5.795588683611239e-16
2,0.6619941660720964,0.06792684038069294,9.745693489671824,-0.03728620372199435
4,0.6580757406921526,0.06881448738597248,9.563040657428457,-0.07339200333625893
6,0.6525660554735376,0.07019937048178226,9.29589611694435,-0.1075878335834026
8,0.6451733305169907,0.07178601278436146,8.987451809797985,-0.14053507270519705
12,0.6282266124936893,0.07568256022152522,8.300810789894664,-0.19852189929139225
14,0.6179272214332066,0.07812671072072726,7.909295242725079,-0.2234500856522003
20,0.5793433027819339,0.08700576982708433,6.658676820322646,-0.28534916669726024
