aoa,CL_no_stall,CL,CD_no_stall,CD,CL/CD_no_stall,CL/CD,CMx,CMx_stall,CMy,CMy_stall,CMz,CMz_stall
-12.65,-0.8970413899242508,-0.9009657921584111,0.10024985063203876,0.10069827005857983,-8.948057121968082,-8.947182425619493,6.107268498370871e-16,-2.4295319696254004e-16,-0.4539545294797779,-0.45640543683660967,-4.0756428968765464e-16,5.1097265852897626e-17
-7.15,-0.44199471613296876,-0.44384155327915165,0.059055659349305324,0.059167075546155766,-7.48437526569023,-7.501495539236418,-1.3193037499453377e-16,1.4538494608808612e-10,-0.12910973103582044,-0.12975638794165273,5.134953287497659e-17,2.330860233711097e-10
-3.0,-0.09660875325907602,-0.09459806419124321,0.04580001706687487,0.06634617309437933,-2.109360638840217,-1.425825481398524,7.68749445692675e-17,6.369329448976431e-05,0.04833838684616463,0.00197290325558289,-2.052756922758011e-17,0.00043881626738356486
-2.25,-0.03503217801713248,-0.03475889114283751,0.04498690805471701,0.0657752657992485,-0.7787193993088675,-0.5284492691967905,1.9003411989580028e-17,6.406006725313673e-05,0.07437628001703289,0.027155160143454503,-1.1781608788474354e-17,0.0004001394442674154
2.35,0.3317822515167291,0.3317822515168398,0.049665933830502634,0.0496659338305029,6.680278128848209,6.680278128850403,3.236786440278078e-16,-9.095967738358409e-17,0.19370727224276227,0.1937072722427904,-1.0842204396632191e-17,-1.0470664682105855e-18
4.75,0.513044720361535,0.5130447203615355,0.05837005777382114,0.058370057773821156,8.789518803451221,8.789518803451227,-1.0734120116042713e-16,9.592479902316332e-18,0.22769905604109467,0.22769905604109472,-1.0909757072000616e-17,1.2801231982316514e-17
6.75,0.6574799816388608,0.6574799816388615,0.06862690726487661,0.06862690726487664,9.58049849312327,9.580498493123276,2.4048752431159255e-17,8.552168701642589e-17,0.24056254222304932,0.24056254222304943,-1.5199351957895597e-18,1.5874878711579845e-18
8.8,0.7983446643634303,0.7983446643634304,0.08169322427075802,0.081693224270758,9.772470991198185,9.77247099119819,1.4388719853474502e-16,-1.0132901305263733e-17,0.2384562336414414,0.23845623364144142,-2.526470058779091e-17,-2.7426386199580507e-17
10.95,0.9371132240195819,0.9371132240195819,0.09780243100562698,0.09780243100562698,9.581696634572058,9.581696634572058,-6.6174600790909e-16,-6.6174600790909e-16,0.21852363300741498,0.21852363300741498,-6.322930414484569e-17,-6.322930414484569e-17
11.95,0.9981160935171655,0.9981160935171655,0.10600364090992882,0.10600364090992882,9.415866143364488,9.415866143364488,-1.3159261161769165e-16,-1.3159261161769165e-16,0.20261925178110549,0.20261925178110549,-9.646522042611072e-17,-9.646522042611072e-17
12.8,1.0480061431274936,1.0480061431274936,0.11326943182480527,0.11326943182480527,9.25232983201022,9.25232983201022,-5.115088578897132e-16,-5.115088578897132e-16,0.18555468541978554,0.18555468541978554,-7.714515527074121e-17,-7.714515527074121e-17
14.0,1.115080606037469,1.115080606037469,0.12390612810928729,0.12390612810928729,8.999398359489929,8.999398359489929,1.5320946773558762e-16,1.5320946773558762e-16,0.15554534281141535,0.15554534281141535,7.822599807663601e-17,7.822599807663601e-17
15.75,1.204884516709017,1.204884516709017,0.139960788009131,0.139960788009131,8.608729157986811,8.608729157986811,1.2132460496169107e-16,1.2132460496169107e-16,0.09805443898596324,0.09805443898596324,4.836771556379221e-17,4.836771556379221e-17
17.85,1.2971770808293066,1.2971770808293066,0.15940497945594392,0.15940497945594392,8.137619572842882,8.137619572842882,-7.322710009937256e-17,-7.322710009937256e-17,0.0033858252192367744,0.0033858252192367744,-1.7536674525643097e-16,-1.7536674525643097e-16
19.75,1.3605061402040102,1.3605061402040102,0.17611103298655068,0.17611103298655068,7.72527488557693,7.72527488557693,2.134664541642226e-16,2.134664541642226e-16,-0.11490503124579624,-0.11490503124579624,2.3170567651369733e-16,2.3170567651369733e-16
22.55,1.336912502026286,1.1592745491181768,0.24149509959486706,0.2066633765634409,5.5359819071653815,5.609482281744808,-3.453292764833878e-16,-8.841294152219444e-16,-1.2328316250347386,-1.116109483242403,2.0459003262081148e-15,-2.2157277520843348e-16
24.0,1.2813463381915253,0.9105463031421419,0.28715901197597343,0.2042661054058993,4.462149139511371,4.457647544279488,4.19907430090129e-16,-2.783170225179105e-17,-2.027119903793886,-1.6884277184624905,2.0106378296657978e-15,-1.6509873860043039e-16
