CMx,CMx_ci,CMy,CMy_ci,CMz,CMz_ci,aoa
0.00437157475590108,0.028699306000113563,0.020049826258019193,0.02830319623069954,0.021059280677264154,0.0271692095332789,-12.36503851239693
-0.007537633579673171,0.03603923375681461,0.011115028725708988,0.03254107154379901,0.0007623072135597387,0.03249702461811639,-7.020193078390503
-0.01588150430162005,0.03717145219045598,-0.004834855614217515,0.03424789179251267,-0.007585907186888069,0.031864144765654974,-2.9993894081945434
-0.010013043068871344,0.03258227092278363,-0.041208112884801355,0.0288825204194259,0.012368318908023134,0.0280502994648948,-2.262036874744285
-0.025844464595439574,0.02248445417259694,0.026816985119030426,0.02845939502499786,0.014036598448954463,0.021050059918677814,1.9099258313187737
-0.022140752532561255,0.01564500690840606,0.01110768671812615,0.014529007093272267,0.02298104079097514,0.013143494708240132,4.28839381107656
-0.03128243402786351,0.026656226867351543,0.0523360130569468,0.03086617983796175,0.017909227550587558,0.022983524385813022,6.1770017717564425
-0.023315749713408804,0.030224035077201047,0.03253489565812922,0.033882937250867225,0.02528906380585964,0.024347897198656557,8.055958945244765
-0.02280701813527319,0.033460989421968505,0.026530589103287226,0.04169386061351056,0.016640439651778857,0.028017604721501353,10.223959593810935
-0.009956006486023091,0.03152077825176276,0.07015168971292175,0.04458989293536588,0.006233923343784831,0.02801067087810593,11.217956557067525
-0.011373206144888981,0.031215926385268395,0.018761106072902243,0.043698108459227177,0.01859804070643583,0.027301823710378436,12.002357326820606
-0.0154865906800389,0.03216318123703299,0.04588361625266187,0.05212953032149105,0.008759345344363558,0.028478490996937226,13.180689063081232
-0.0003939569702109778,0.027685485343775025,0.08321401220232934,0.05191245460061978,0.0017059667946005377,0.02536692818005188,14.954370624459425
-0.008556707112902495,0.032520957390109344,0.032591033223220205,0.04703268812143672,0.03909188794874087,0.028930165555192868,16.90436332972493
-0.014479896219406025,0.0355487235483263,0.08870834893461962,0.050290768039211405,0.005835130106570271,0.031483945752900616,18.953170697303225
-0.03168783212981536,0.03421470183581006,0.03739627657546097,0.03821363407530671,0.0005486051892725203,0.040282347125426415,21.763257452711464
-0.02742844716554073,0.030724471719441933,0.05378004698548644,0.043322427476809935,0.004586621572916912,0.024772275947380677,23.18248670192451
