beta,CL,CL_stall,CD,CD_stall,CL/CD,CL/CD_stall,CS,CS_stall,CMx,CMx_stall,CMy,CMy_stall,CMz,CMz_stall
0,0.6574799816389101,0.657479981638921,0.06862690726487676,0.06862690726487682,9.580498493123967,9.580498493124118,1.9935723065811192e-16,-1.2220431584675e-16,1.4658930554948198e-16,-2.3778541729685555e-16,0.24056254222305373,0.24056254222305462,-1.1551507488000653e-17,-2.0704895000422225e-17
2,0.655897295913672,0.6558972959136723,0.06895318261351713,0.06895318261351713,9.512212069890653,9.512212069890658,-0.0382739653795724,-0.03827396537957263,-0.03503245110958851,-0.03503245110958879,0.23964506309203715,0.2396450630920372,-0.00785661855436508,-0.007856618554365064
4,0.651094818420963,0.6529265774412935,0.06990394458218785,0.0700956723704953,9.314135594386297,9.314791560742965,-0.0764834906177406,-0.08727642174449335,-0.07025595801583338,-0.0734880539384598,0.23690142671224512,0.23704015830734232,-0.015559821640135888,-0.015231615558617429
6,0.6429007107248206,0.6445541638913976,0.0713961562713889,0.07160536488163814,9.004696391232127,9.001478659550571,-0.11446439549264457,-0.13049835175051988,-0.10594498902598969,-0.11083224295709411,0.23235388603192608,0.23220550985311406,-0.022947626546966048,-0.02238957593688277
8,0.6315173670359964,0.6328869474460964,0.07315510973311998,0.07343255712746098,8.632580408119948,8.618615123909676,-0.15192487117740844,-0.17303769353907983,-0.14173374758516158,-0.1485309019240592,0.22613660573955646,0.22554373799625868,-0.02956832077003015,-0.028790802382507853
12,0.6001684978544024,0.6012051930883423,0.07783446273616537,0.07828496631919102,7.710832409658778,7.679701753169957,-0.22421605374787273,-0.2546162473886896,-0.21167357665615244,-0.2230088087158316,0.20858236646918196,0.20659976057789867,-0.04123113045315481,-0.03973106960115891
14,,0.582002289080257,,0.08152340081483488,,7.139082561118446,,-0.2928663290103161,,-0.2597884571614594,,0.19410954759324478,,-0.04460264673868565
20,,,,,,,,,,,,,,
