beta,CL,CD,CL/CD,CS,CMx,CMy,CMz
0,0.6634832291602683,0.06759253624646762,9.815924449719725,5.795588683611239e-16,1.0133329055490126e-15,0.16686256278938488,-1.2999162759325965e-16
2,0.6619941660720964,0.06792684038069294,9.745693489671824,-0.03728620372199435,-0.03488771891831808,0.16645720233003558,-0.004285159123164788
4,0.6580757406921526,0.06881448738597248,9.563040657428457,-0.07339200333625893,-0.06925172291315636,0.16549945520009335,-0.008644609184112712
6,0.6525660554735376,0.07019937048178226,9.29589611694435,-0.1075878335834026,-0.10257529538230464,0.16427074735613414,-0.013418562682700617
8,0.6451733305169907,0.07178601278436146,8.987451809797985,-0.14053507270519705,-0.1353022520990282,0.16281653363774376,-0.018037102633173693
12,0.6282266124936893,0.07568256022152522,8.300810789894664,-0.19852189929139225,-0.1944907585137271,0.15990287513444515,-0.02835366918586675
14,0.6179272214332066,0.07812671072072726,7.909295242725079,-0.2234500856522003,-0.2213768250658405,0.15793401088812334,-0.03423479822719413
20,0.5793433027819339,0.08700576982708433,6.658676820322646,-0.28534916669726024,-0.29204447144223333,0.14944815919884658,-0.05366377744240349
