aoa,CL,CD,CL/CD,CS,CMx,CMy,CMz
-12.65,-0.3997809215875455,0.07695073589826786,-5.195283929656929,9.0417591949646e-19,3.142960379272938e-17,-0.1455941179636302,1.8258112627484536e-17
-7.15,-0.3240287646364066,0.0555610735348542,-5.831938514167461,8.288591732522592e-17,5.850592510786564e-17,-0.09639732475643911,-1.34380730885044e-17
-3.0,-0.11632654723174901,0.0464536578802683,-2.5041418165943825,1.025187211266957e-17,1.329162917166378e-17,-0.00616034515387111,-6.65898400281396e-18
-2.25,-0.05117478863882828,0.045575124200164914,-1.1228666852134022,-2.3385858230746336e-17,-2.4773253673311845e-17,0.018955028758121644,1.2001026307420909e-17
2.35,0.33749278124364146,0.04974240297278043,6.784810565511302,2.644113769029271e-16,5.567397368004128e-17,0.16395311641824584,-7.876786329979953e-17
4.75,0.5184478832352576,0.05802016107457081,8.935650533077958,1.2645168674699596e-16,1.4835716973977542e-16,0.22998858635386438,-1.7151848677448187e-17
6.75,0.6616469398761106,0.06787817761033701,9.747564875332626,7.439978744177092e-17,5.621255015694002e-16,0.28119884058781724,5.667274226396148e-17
8.8,0.8011545103355865,0.08047654664741426,9.955130329406696,1.48431427855057e-16,2.5002085462792297e-16,0.32931334302012416,-5.66390285564874e-17
10.95,0.9385060685123473,0.09605665631044405,9.770338720506821,-8.98046953225943e-16,-7.714370544223477e-16,0.3736901674800048,1.3298371913158599e-16
11.95,0.9989858127438976,0.10399641902162743,9.605963572035547,2.589846170015572e-16,3.771552455127526e-16,0.39182046802881737,-1.0451249316970885e-18
12.8,1.04820646679974,0.11103736524623407,9.440123732000123,-2.0823486737115833e-16,8.387970419555988e-17,0.4056561000829771,1.9914687004950653e-16
14.0,1.114404077849935,0.12134280486406504,9.183932076552477,-3.6619721274143524e-16,-4.2826522604348763e-16,0.42242402976299154,1.145086074357794e-16
15.75,1.2029070391740035,0.1369130863977608,8.785917188947957,-5.571291697738037e-17,1.809751817209668e-16,0.440201645785227,1.196162341181055e-16
17.85,1.293261034900428,0.15572195221940457,8.30493720678692,-9.629090056149294e-17,1.0329879970064127e-16,0.4502870044634687,1.5403792944916122e-16
19.75,1.3544135705742664,0.1718171251111954,7.882878785788823,1.2882418981945417e-16,-4.141391826118399e-16,0.4489312024849412,9.031902232311292e-17
22.55,1.3442627354711658,0.19415917685233833,6.923508624542134,-4.850814327917972e-16,-1.5022828050458792e-16,0.41400083887352274,1.1506488360910202e-16
24.0,1.3368473212968066,0.20499628266966413,6.521324698609457,-3.155974489374562e-16,-4.371319311091758e-16,0.396107262803424,3.742221529625059e-18
