beta,CL,CD,CL/CD,CS,CMx,CMy,CMz
0,0.6638469354006905,0.0675619539383716,9.825750984144655,6.026703207048977e-18,-2.6852968003120355e-16,0.24176854354943295,-2.1239635708682767e-18
2,0.6622980395755744,0.0678984177727006,9.754248497994595,-0.037300940983924565,-0.03405380190756015,0.24084611053700913,-0.008686011474748156
4,0.6576032051357986,0.06890046943425254,9.544248544827532,-0.07450031886449007,-0.06827079060952188,0.23807436451111605,-0.017259727613697116
6,0.6494623978563882,0.0704296985483236,9.221428051559466,-0.11113924134947085,-0.10195185916516195,0.2333861807523736,-0.026057754089921798
8,0.6381079541284754,0.07193765291054316,8.870291541510031,-0.14740884877616606,-0.1361258398250014,0.22712340553348728,-0.03357955288795725
12,,,,,,,
14,,,,,,,
20,-410.726129789562,5703.335818759419,-0.0720150702749435,2074.2153487855417,-102577.08426564602,-17192.8130010214,64453.84203720235
