beta,CL,CD,CL/CD,CS,CMx,CMy,CMz
0.0,1.0024365914355506,0.10213539464644134,9.814781593644904,4.283049799543495e-16,5.043907775200046e-16,0.201891373380584,3.768518221454857e-16
1.0526315789473684,1.0019690535687014,0.10222239262994703,9.801854836208998,-0.01829356662167201,-0.01565881982758699,0.20159560141417035,-0.011000517329527747
2.1052631578947367,1.0005653619339456,0.10248226881795518,9.763302212905769,-0.03656774219016181,-0.031312724243434786,0.20070808691273245,-0.021988500876078204
3.1578947368421053,0.9982214768788503,0.10291186147622933,9.699770877329048,-0.05480347886094302,-0.046957948282532185,0.19922828221103234,-0.03295193851298596
4.2105263157894735,0.9949636097266711,0.10341513927439143,9.62106338305781,-0.0726339501682194,-0.061228494334941076,0.19714338580429988,-0.04442936741124822
5.263157894736842,0.9907354784065908,0.1041457991955705,9.512966303577308,-0.09075256300259844,-0.07676172393164493,0.19447379262405728,-0.055361797092776235
6.315789473684211,0.9855709155479895,0.10497822721506646,9.388336435981847,-0.10851646485981752,-0.09128759660257271,0.1911910687956982,-0.06660908901334406
7.368421052631579,0.9794197302686669,0.10596936561200879,9.242479886636936,-0.12566052061349392,-0.10513794525285838,0.18731268455646793,-0.078265457867307
8.421052631578947,0.9630260687670656,0.10957090513911637,8.789067385583449,-0.1327037439638739,-0.11170035392051565,0.14992469169357514,-0.12128364810578465
9.473684210526315,0.9258775708905416,0.11599956684787906,7.98173300168207,-0.13095964757373182,-0.10572766832780468,0.02926495306572065,-0.2077148420779779
10.526315789473683,0.9128023530762175,0.11928374440457636,7.652361666148347,-0.1385836448151003,-0.11953485205173396,0.01386240178142764,-0.24201841022261059
11.578947368421051,0.8443247670942295,0.1259107770131067,6.705738675620589,-0.12288527639396056,-0.0989227612887368,-0.1934009047835371,-0.37930635756123693
12.631578947368421,0.8005325511855204,0.12889479586991914,6.210743775826444,-0.12605869589629376,-0.0972236870067901,-0.31646488243732057,-0.44292943443819255
13.68421052631579,,,,,,,
14.736842105263158,,,,,,,
15.789473684210526,,,,,,,
16.842105263157894,,,,,,,
17.894736842105264,,,,,,,
18.94736842105263,13448.185868596622,-15755.205315561769,-0.8535709690379946,-5394.927863361996,-163315.41539235666,-12916.197242617201,128692.03370644001
20.0,1708.8191501892575,830.1137019080452,2.0585362538426693,301.60801847326877,-88661.83798349455,-12418.064143671105,64708.00989039992
