aoa,CL,CD,CL/CD,CS
-12.65,-0.9033709348307295,0.09970185379147847,-9.060723552042326,4.560059133673488e-16
-7.15,-0.4426395552306771,0.05872496630899704,-7.537502071974146,1.2443284343569803e-16
-3.0,-0.0907202749959534,0.0457888902219349,-1.9812726308988897,-9.551796224011377e-17
-2.25,-0.027923855640409143,0.04505393210117407,-0.6197873157375641,-9.956161420807866e-18
2.35,0.33976455238548514,0.04935357322386337,6.884294898858562,-1.6411858179105206e-16
4.75,0.5201650678600559,0.05766855013887391,9.019908886341444,-4.063252388462885e-17
6.75,0.6638469354005284,0.0675619539383711,9.825750984142328,7.977677931891971e-16
8.8,0.803943098071309,0.08022081516887136,10.021627134789682,-1.1371652657644453e-16
10.95,0.9419250108606072,0.09587595014750006,9.82441383278607,1.1802521031723064e-16
11.95,1.0025697150881903,0.10386002856836805,9.653085300551671,-8.857344803843926e-17
12.8,1.052158389147427,0.11093942195402154,9.484080326139527,3.087935464480502e-16
14.0,1.11880986195275,0.12131117336332316,9.222644797952366,-6.767905891065227e-16
15.75,1.2079915204854108,0.13697761458573168,8.818897336902825,-1.7368358699409474e-16
17.85,1.2994864003274824,0.15595368873407198,8.33251467711887,1.3385553254208103e-16
19.75,1.361920631720831,0.17222474883859443,7.907810235782057,1.0077956729398281e-15
22.55,1.0541921176711573,0.19879374520024357,5.302944097206262,-3.767507608913354e-16
24.0,0.9863100071664858,0.20095145763279665,4.908200312578938,-7.240224893536215e-17
