beta,CL,CD,CL/CD,CS
0.0,1.0024365914355506,0.10213539464644134,9.814781593644904,4.283049799543495e-16
1.0526315789473684,1.0019690535687014,0.10222239262994703,9.801854836208998,-0.01829356662167201
2.1052631578947367,1.0005653619339456,0.10248226881795518,9.763302212905769,-0.03656774219016181
3.1578947368421053,0.9982214768788503,0.10291186147622933,9.699770877329048,-0.05480347886094302
4.2105263157894735,0.9949636097266711,0.10341513927439143,9.62106338305781,-0.0726339501682194
5.263157894736842,0.9907354784065908,0.1041457991955705,9.512966303577308,-0.09075256300259844
6.315789473684211,0.9855709155479895,0.10497822721506646,9.388336435981847,-0.10851646485981752
7.368421052631579,0.9794197302686669,0.10596936561200879,9.242479886636936,-0.12566052061349392
8.421052631578947,0.9629822708156448,0.10971609679267923,8.77703727134321,-0.1309228588568826
9.473684210526315,0.9456842840296574,0.11122414072934596,8.502509237908125,-0.14227724874147674
10.526315789473683,0.9225700854058895,0.11289283967967086,8.172086803942987,-0.14876957887983264
11.578947368421051,0.9055300662402009,0.11454834090489083,7.905222014451175,-0.16110226703001143
12.631578947368421,0.8253764221397382,0.11573370468166617,7.131685833526154,-0.1429895738390917
13.68421052631579,0.7919396948940639,0.11558069348572966,6.851833736331076,-0.14062032446634293
14.736842105263158,0.7657262754852927,0.11588311475990681,6.607746754751697,-0.14839996394081983
15.789473684210526,0.6996643056888088,0.11254872746463773,6.2165456815905795,-0.1269275740155346
16.842105263157894,0.6483026378628,0.11809908308616945,5.489480704856738,-0.13067481505747316
17.894736842105264,0.5586581066110567,0.11817138198699643,4.727524525967983,-0.12849467666649883
18.94736842105263,0.5281577760373385,0.12007577775810449,4.39853720624092,-0.0781716130121355
20.0,0.45472291576037394,0.11670795234901754,3.896246199235127,-0.07306370534619634
