beta,CL,CL_stall,CD,CD_stall,CL/CD,CL/CD_stall,CS,CS_stall
0,0.663846935402875,0.6638469354028872,0.06756195393711988,0.06756195393711989,9.82575098435903,9.825750984359207,-3.3523582049725883e-16,-1.7297143167577246e-16
2,0.6622980395752459,0.6622980395752459,0.06789841777311041,0.06789841777311041,9.754248497930885,9.754248497930885,-0.03730094098503134,-0.03730094098503134
4,0.6576032050759907,0.6576032050759907,0.06890046943405129,0.06890046943405129,9.544248543987376,9.544248543987376,-0.07450031886371543,-0.07450031886371543
6,0.6495023674377356,0.6495023674377356,0.07051885884153436,0.07051885884153436,9.21033576134942,9.21033576134942,-0.11146727816548223,-0.11146727816548223
8,0.6381233565171869,0.6381233565171869,0.0719881449268243,0.0719881449268243,8.864283934053823,8.864283934053823,-0.14765900302942656,-0.14765900302942656
12,0.6068098144115439,0.6109687465384726,0.07558171335398081,0.07641367815736276,8.028526841798353,7.995541652638053,-0.21670449607903394,-0.2242793861294792
14,0.5872682762565191,0.5992979056200723,0.07782396551779855,0.08096059379718086,7.546110922890575,7.4023407871909725,-0.24865095611825008,-0.27615170008743856
20,,0.5329488101411884,,0.09203222330523605,,5.790893569675036,,-0.37170578958843614
