beta,CL,CL_stall,CD,CD_stall,CL/CD,CL/CD_stall,CS,CS_stall
0,1.0320334146039714,1.0320334146039827,0.10279110210040272,0.10279110210040296,10.040104576327215,10.040104576327302,-2.857341092716203e-17,6.6968931860536015e-18
2,1.0300875371819944,1.0300875371819944,0.10314220628697429,0.10314220628697429,9.987061303652595,9.987061303652595,-0.03979202403800429,-0.03979202403800429
4,1.024243450538879,1.024243450538879,0.1041769682534331,0.1041769682534331,9.83176481050192,9.83176481050192,-0.07935357588097273,-0.07935357588097273
6,1.0145152461684215,1.0129425986633607,0.1058147494707644,0.10445933879426612,9.58765437939937,9.697003737103515,-0.11837010224934601,-0.13206848954734857
8,1.0005602011073824,0.9995097474174574,0.10787797379031488,0.107234282115079,9.274925788393062,9.320804202753262,-0.15650963236478177,-0.17337359591600857
12,0.9579597562965156,0.9623465019556041,0.11271636547198984,0.1152921875829457,8.498852427375065,8.347022657222585,-0.22082588280629617,-0.24367476936040053
14,0.9328016709617046,0.9383944289452796,0.11540572207472558,0.11891757477429613,8.082802604516546,7.891133255335378,-0.2546887474921172,-0.2725966411554369
20,0.8215944155508296,0.8362003466605402,0.12196842826686681,0.12554426556009154,6.736123661060727,6.660601684433722,-0.2918472474731149,-0.3177346634782489
