aoa,CL_no_stall,CL,CD_no_stall,CD,CL/CD_no_stall,CL/CD,CMx,CMx_stall,CMy,CMy_stall,CMz,CMz_stall
-12.65,-0.8889480791781692,-0.9033709348309212,0.09835633585361346,0.0997018537914768,-9.038035744857515,-9.060723552044402,-5.309534872476e-16,5.32883543358503e-16,-0.6870385626415983,-0.704005564356762,4.9164467778887497e-17,-3.575948575939255e-16
-7.15,-0.4331419235132889,-0.44263955523067816,0.058353420091701816,0.05872496630899714,-7.422734140220243,-7.537502071974152,6.306433598066529e-16,9.41164643741836e-16,-0.26980297134180337,-0.27815666686022084,-2.897212176938358e-16,-4.1020497041695725e-16
-3.0,-0.08761897443802062,-0.09072027499595352,0.04574765444712776,0.04578889022193491,-1.9152670338385345,-1.981272630898892,1.0062768187447873e-16,-1.2882629654095425e-16,0.0008741464004061742,-0.00143637585303172,-4.87577331978238e-17,3.0253629538404954e-17
-2.25,-0.02608783274235604,-0.027923855640409306,0.04502978687063239,0.04505393210117405,-0.5793461296475745,-0.6197873157375678,-1.7656301768395578e-17,-3.2575882948767123e-17,0.04555972741028891,0.04422032158241697,2.0198160922145752e-17,9.588419781729783e-20
2.35,0.3397645523854897,0.3397645523854839,0.049353573223863356,0.049353573223863335,6.8842948988586565,6.884294898858543,-2.3198284680689823e-16,2.150527905110027e-17,0.2895920362866732,0.2895920362866698,5.174777365040386e-17,-2.475915569960986e-17
4.75,0.5201650678656718,0.5201650678656718,0.057668550137851445,0.057668550137851445,9.019908886598751,9.019908886598751,2.564302242116699e-16,2.564302242116699e-16,0.39369266311249085,0.39369266311249085,-7.51930065360528e-17,-7.51930065360528e-17
6.75,0.6638469354029494,0.6638469354029494,0.06756195393711999,0.06756195393711999,9.825750984360115,9.825750984360115,-4.0578687402462724e-16,-4.0578687402462724e-16,0.46668472517228904,0.46668472517228904,1.0749917651547579e-16,1.0749917651547579e-16
8.8,0.8039430980719144,0.8039430980719144,0.08022081516887294,0.08022081516887294,10.021627134797033,10.021627134797033,-2.027449711576288e-16,-2.027449711576288e-16,0.5271396095164758,0.5271396095164758,-7.384691612024353e-17,-7.384691612024353e-17
10.95,0.9419250108606072,0.9419250108606072,0.09587595014750028,0.09587595014750028,9.824413832786048,9.824413832786048,3.159353387693571e-16,3.159353387693571e-16,0.5729915333654738,0.5729915333654738,1.3896403998501797e-17,1.3896403998501797e-17
11.95,1.0025697150881907,1.0025697150881907,0.103860028568368,0.103860028568368,9.65308530055168,9.65308530055168,-5.556977963617414e-16,-5.556977963617414e-16,0.5874538897782369,0.5874538897782369,2.573408147870703e-17,2.573408147870703e-17
12.8,1.0521583891474287,1.0521583891474287,0.11093942195402173,0.11093942195402173,9.484080326139523,9.484080326139523,3.8715935812350164e-16,3.8715935812350164e-16,0.5959532807857496,0.5959532807857496,1.2211811434011053e-16,1.2211811434011053e-16
14.0,1.1188098619527498,1.1188098619527498,0.12131117336332323,0.12131117336332323,9.22264479795236,9.22264479795236,-3.495084173754241e-16,-3.495084173754241e-16,0.6014569735135092,0.6014569735135092,2.464533187768481e-17,2.464533187768481e-17
15.75,1.2079915204854097,1.2079915204854097,0.13697761458573177,0.13697761458573177,8.818897336902813,8.818897336902813,-5.517387069034788e-16,-5.517387069034788e-16,0.5939323258959702,0.5939323258959702,-1.6814252929241348e-16,-1.6814252929241348e-16
17.85,1.2994864003274809,1.2994864003274809,0.15595368873407214,0.15595368873407214,8.33251467711885,8.33251467711885,-5.1151435800753024e-17,-5.1151435800753024e-17,0.5545886603305487,0.5545886603305487,-8.521940058910285e-17,-8.521940058910285e-17
19.75,1.3619206317208283,1.3619206317208283,0.17222474883859448,0.17222474883859448,7.90781023578204,7.90781023578204,-6.218937721038924e-16,-6.218937721038924e-16,0.47868048239293803,0.47868048239293803,-2.079313783479528e-16,-2.079313783479528e-16
22.55,1.2934335004898512,1.0541921176711582,0.2548805720574677,0.19879374520024354,5.074664930515857,5.302944097206267,6.656021197231117e-16,9.739360067326045e-17,-1.0199076421555109,-0.8301038050093731,2.858462588865612e-17,-4.258000712361448e-17
24.0,1.3322465377363686,0.9863100071664853,0.27246125114941666,0.2009514576327961,4.889673420040818,4.908200312578949,3.478455998029538e-16,6.888815657376959e-16,-1.174358956217561,-1.1403168089361813,-2.6205213124240282e-16,-2.483932726113968e-16
