beta,CL_no_stall,CL,CD_no_stall,CD,CL/CD_no_stall,CL/CD_,CS_no_stall,CS
0,0.7151875198601951,0.7151875198601966,0.0732182246932453,0.07321822469324535,9.767889386236023,9.767889386236037,-1.0223639452083362e-17,1.699680058908859e-16
2,0.7130642468899507,0.713064246889951,0.07372747714707448,0.07372747714707449,9.67162141554772,9.671621415547722,0.06088859763423138,0.06088859763423134
4,0.7067723481942143,0.7053701186047717,0.07518737880900458,0.07409548007109072,9.400146133430175,9.519745575951545,0.12145747595360991,0.1353837100345341
6,0.6965590658103965,0.6951883689747838,0.07749569551792038,0.07643088263493833,8.988358142412203,9.095647531577727,0.18138533756456465,0.20181699316434468
8,0.6826346482390613,0.6813779160391193,0.08069982459126607,0.07969305364166482,8.458935960474703,8.55002895362619,0.2403112421789989,0.2666263029659185
12,0.6436699787770522,0.6433613527458281,0.0897432059571232,0.08924808133142702,7.1723532930679985,7.2086855330444015,0.35335035981094287,0.387648775640941
14,0.6185101649304078,0.6198682184228881,0.09530865276527534,0.09591332399385387,6.489548923261616,6.46279570565826,0.40607389113110554,0.43911865814479495
20,0.5154648205745098,0.5257951345339889,0.11224619542081278,0.1211809842033283,4.592269863954177,4.338924444216121,0.49159235169724325,0.5429698069912074
