CL,CL_ci,CD,CD_ci,aoa
-0.2802331535608193,0.011070533538875889,0.09863581945906925,0.012923459845327546,-12.6
-0.2144515732715093,0.012287227041809064,0.06897804318424455,0.01551574951682723,-7.2
-0.0007282387804362191,0.01068508564308875,0.048919619818492834,0.007669194828276149,-3.0
0.07398995139159747,0.00953159417113587,0.05755489077443686,0.008888488359832665,-2.2
0.46523247502084353,0.009475707060472792,0.05785976519225433,0.009064566824666187,2.3
0.610180915884597,0.004525022831668848,0.07735260027798983,0.004607783028279026,4.8
0.7430356350927991,0.009465755795905533,0.09107296614730596,0.009594145605984497,6.8
0.8874006258634807,0.010638047578235596,0.10873723447132017,0.008967410020398657,8.8
0.9255655151637727,0.01423843139906374,0.1828540713504675,0.015054220767460874,11.0
0.9327251987983486,0.015877506028324398,0.19587593361587613,0.01692669807485882,12.0
0.9513300413613146,0.014573344990978985,0.22012079561758835,0.018055574939895454,12.8
0.9771732803611046,0.018103047941433924,0.23569931015277928,0.020489095911900495,14.0
1.008562675819161,0.01665884731370474,0.2526440763387279,0.018373626051381858,15.8
1.0682052242531699,0.015490003833879084,0.32915892359330623,0.023055701331938176,17.8
1.0099938012961718,0.015447658557709807,0.36549609358031426,0.015118307198981211,19.8
0.9979635604848679,0.01181112128634061,0.42848583575598725,0.011577956883900382,22.6
0.9750292779241329,0.013017296036276386,0.4427107612397231,0.012169371377647988,24.0
