aoa,CL,CD,CL/CD,CS
-12.65,-0.3997809215875455,0.07695073589826786,-5.195283929656929,9.0417591949646e-19
-7.15,-0.3240287646364066,0.0555610735348542,-5.831938514167461,8.288591732522592e-17
-3.0,-0.11632654723174901,0.0464536578802683,-2.5041418165943825,1.025187211266957e-17
-2.25,-0.05117478863882828,0.045575124200164914,-1.1228666852134022,-2.3385858230746336e-17
2.35,0.33749278124364146,0.04974240297278043,6.784810565511302,2.644113769029271e-16
4.75,0.5184478832352576,0.05802016107457081,8.935650533077958,1.2645168674699596e-16
6.75,0.6616469398761106,0.06787817761033701,9.747564875332626,7.439978744177092e-17
8.8,0.8011545103355865,0.08047654664741426,9.955130329406696,1.48431427855057e-16
10.95,0.9385060685123473,0.09605665631044405,9.770338720506821,-8.98046953225943e-16
11.95,0.9989858127438976,0.10399641902162743,9.605963572035547,2.589846170015572e-16
12.8,1.04820646679974,0.11103736524623407,9.440123732000123,-2.0823486737115833e-16
14.0,1.114404077849935,0.12134280486406504,9.183932076552477,-3.6619721274143524e-16
15.75,1.2029070391740035,0.1369130863977608,8.785917188947957,-5.571291697738037e-17
17.85,1.293261034900428,0.15572195221940457,8.30493720678692,-9.629090056149294e-17
19.75,1.3544135705742664,0.1718171251111954,7.882878785788823,1.2882418981945417e-16
22.55,1.3442627354711658,0.19415917685233833,6.923508624542134,-4.850814327917972e-16
24.0,1.3368473212968066,0.20499628266966413,6.521324698609457,-3.155974489374562e-16
