beta,CL,CL_stall,CD,CD_stall,CL/CD,CL/CD_stall,CS,CS_stall
-20,0.4018483571377412,0.4633074389468083,0.1137463597209442,0.1136163802316106,3.532845869736863,4.077822563985417,-0.18108570053310885,-0.2241670352693611
-14,0.8020593099225389,0.9398301825806664,0.14963638632492735,0.1360849362198979,5.360055328928556,6.906202910379492,-0.2633656325167043,-0.3838479811577523
-12,0.8226551278833882,0.9774450780239338,0.14636843418205872,0.12777555402794272,5.620440858581147,7.649703305611809,-0.22610820937999498,-0.36107923915914253
-10,0.9963906180394816,1.0011536190425838,0.12001199489753223,0.11968313469316211,8.302425260826741,8.365035070390608,-0.27649216761145207,-0.31936323751817264
-8,1.0199997032494945,1.021140171947496,0.11604894890579057,0.11545365464741512,8.78939200110755,8.84458941612515,-0.2389329394306462,-0.26165882277028035
-6,1.0361523046431773,1.0370037722592294,0.11317008228046152,0.1120989613697654,9.155708679926143,9.250788406848908,-0.18112557598344248,-0.19938953346818708
-4,1.0477361681567696,1.0478683865735192,0.11086180602200117,0.11086139509837589,9.450830775288292,9.452058452301314,-0.12163768770978237,-0.12164612506127367
-2,1.054655306518445,1.0546554309967202,0.10937276036823013,0.1093727605978256,9.642760253720306,9.642761371588598,-0.06107945277924145,-0.06107946309742699
0,1.0569603500005191,1.0569604311820169,0.10886076663983438,0.10886076683404075,9.709286298685276,9.709287027100984,-5.98934877901217e-16,-4.038337583572928e-16
2,1.0546553065184459,1.05465543099672,0.10937276036823018,0.10937276059782557,9.64276025372031,9.6427613715886,0.06107945277924157,0.061079463097426706
4,1.0477361681567696,1.047868386573518,0.11086180602200116,0.11086139509837567,9.450830775288294,9.452058452301323,0.12163768770978262,0.12164612506127316
6,1.0361523046431782,1.0370037722592313,0.11317008228046173,0.11209896136976559,9.155708679926134,9.25078840684891,0.18112557598344245,0.19938953346818716
8,1.0199997032494934,1.021140171947496,0.11604894890579057,0.11545365464741521,8.789392001107542,8.844589416125142,0.23893293943064584,0.2616588227702804
12,0.8226551278833882,0.977445078023933,0.14636843418205864,0.12777555402794252,5.6204408585811505,7.649703305611815,0.22610820937999504,0.3610792391591417
14,0.8020593099225384,0.9398301825806666,0.14963638632492726,0.13608493621989787,5.3600553289285555,6.906202910379495,0.2633656325167044,0.38384798115775237
20,0.40184835713774036,0.46330743894680826,0.11374635972094406,0.1136163802316106,3.53284586973686,4.077822563985416,0.18108570053310888,0.22416703526936055
