channel,m1,c1,m2,c2,sideslip,vw,middle_alpha
C_L,0.0028697387690341633,0.21430454341437227,0.003629690145789622,0.21232866983480808,-20.0,5.0,2.6
C_D,0.0002596343056298167,0.877997063735385,0.002617797320624837,0.871865839896398,-20.0,5.0,2.6
C_S,-0.00030080324112337267,0.38375689984723377,0.001657588115427043,0.3786650823202027,-20.0,5.0,2.6
C_roll,0.0024544861896643117,-0.33749824502674813,0.0040121614186139545,-0.3415482006220172,-20.0,5.0,2.6
C_pitch,-0.008695701431014287,0.5591201005535532,-0.009444485963972253,0.561066940339244,-20.0,5.0,2.6
C_yaw,0.0017122209656622305,0.34197962318364067,0.0026508329079988286,0.3395392321335655,-20.0,5.0,2.6
C_L,0.0011514035847091499,0.2143942783226834,0.0019032296058243883,0.2124395306677838,-20.0,10.0,2.6
C_D,0.0003966178545984922,0.8814217421567536,0.0015704055526109036,0.8783698941419213,-20.0,10.0,2.6
C_S,0.0010334749475817756,0.2827483034065776,-0.0003726061364173938,0.2864041142249754,-20.0,10.0,2.6
C_roll,0.002561807522015884,-0.349514521006302,0.0021354454934365964,-0.34840597973199583,-20.0,10.0,2.6
C_pitch,-0.007256213867759095,0.5712258231251334,-0.008059615424515653,0.5733146671727004,-20.0,10.0,2.6
C_yaw,0.0022391264254059957,0.27229780546986504,0.0010937692030000398,0.2752757342481205,-20.0,10.0,2.6
C_L,0.0005527500129331249,0.21113493441124087,0.0012982473255553234,0.20919664139842314,-20.0,15.0,2.6
C_D,0.000489889460679489,0.8803981260568673,0.0009466786201344034,0.8792104742422845,-20.0,15.0,2.6
C_S,0.0005034051031256011,0.2580309459530688,-0.000732968821448875,0.26124551815696245,-20.0,15.0,2.6
C_roll,0.0023608133854101988,-0.3437273340894435,0.002232972629008092,-0.343394948122798,-20.0,15.0,2.6
C_pitch,-0.007264386510740182,0.5715556124046764,-0.007402843413384864,0.5719156003515525,-20.0,15.0,2.6
C_yaw,0.0020156098414030083,0.25793059857827544,0.0007506533410322955,0.2612194854792393,-20.0,15.0,2.6
C_L,0.0007126088532874861,0.20288626974667112,0.0009404785337267957,0.2022938085775289,-20.0,20.0,2.6
C_D,0.000149335486608062,0.8625690713181319,0.001345718424980171,0.8594584756783644,-20.0,20.0,2.6
C_S,-3.755547605483946e-05,0.2477009620002417,1.9845171736055438e-05,0.24755172031598535,-20.0,20.0,2.6
C_roll,0.0017933222860774293,-0.3427029821963917,0.002312997902788153,-0.3440541387998396,-20.0,20.0,2.6
C_pitch,-0.006810130278315303,0.5774927800086385,-0.006006759322656207,0.5754040155239247,-20.0,20.0,2.6
C_yaw,0.0019052132411597465,0.24799215683218934,0.0008957719102890409,0.2506167042924532,-20.0,20.0,2.6
C_L,0.000838277682375383,0.1953040291194513,0.0007769808467964311,0.19546340089195657,-20.0,25.0,2.6
C_D,0.00048341664149560286,0.8635290283820365,0.0011667254598125968,0.8617524254544122,-20.0,25.0,2.6
C_S,0.00011066110057484753,0.2498009454934188,-0.00012200848893746208,0.2504058864261508,-20.0,25.0,2.6
C_roll,0.002150040946626876,-0.34176048306618617,0.0021676582573414024,-0.34180628807404395,-20.0,25.0,2.6
C_pitch,-0.00726879173387898,0.588418863988278,-0.006214848242662486,0.5856786109111152,-20.0,25.0,2.6
C_yaw,0.0019060963968115735,0.24688456284794372,0.0008463368719301326,0.24963993761263545,-20.0,25.0,2.6
C_L,0.0032942367429039422,0.21782153848676344,0.0025188407772985203,0.21983756799733756,-14.0,5.0,2.6
C_D,0.000823820896421768,0.7762381847169527,0.0019147502148230157,0.7734017684891096,-14.0,5.0,2.6
C_S,0.0003726035514582255,0.24152846812225082,0.0011960299810320333,0.2393875594053589,-14.0,5.0,2.6
C_roll,0.0007514251539961152,-0.22557562684027668,0.0027099969465950403,-0.2306679135010339,-14.0,5.0,2.6
C_pitch,-0.007987443825432372,0.4601698168025877,-0.00728267301073982,0.45833741268438705,-14.0,5.0,2.6
C_yaw,0.0014904778996809327,0.2654494813400712,0.0016689408153951828,0.26498547775921416,-14.0,5.0,2.6
C_L,0.0008924298344315912,0.20499526565978546,0.002072076404781913,0.20192818457687461,-14.0,10.0,2.6
C_D,0.00020874746240662898,0.7766938637313615,0.0015713883081414637,0.773150997532451,-14.0,10.0,2.6
C_S,-6.542949499526902e-05,0.16630323095797678,0.0009001617352575766,0.1637926937593194,-14.0,10.0,2.6
C_roll,0.0012019062379505575,-0.23157339895369344,0.0010184700920713066,-0.2310964649744074,-14.0,10.0,2.6
C_pitch,-0.00653036577839691,0.48162240647035764,-0.007274010786249473,0.48355588349077433,-14.0,10.0,2.6
C_yaw,0.0011312213287899848,0.21269578698789526,0.0011735670434454616,0.212585688129791,-14.0,10.0,2.6
C_L,0.00045560414834634744,0.2022398177630068,0.0015718440516059927,0.19933759401453174,-14.0,15.0,2.6
C_D,-0.0004154216810434752,0.7690700229194054,0.0013311768623090901,0.7645288667066887,-14.0,15.0,2.6
C_S,0.0004822096091417222,0.15186413736039872,0.00037714468023744725,0.15213730617554985,-14.0,15.0,2.6
C_roll,0.0011969529024104986,-0.2297077284131294,0.0011327125560386443,-0.22954070351256256,-14.0,15.0,2.6
C_pitch,-0.006528776253764218,0.4805906351772233,-0.006349643346335619,0.4801248896179089,-14.0,15.0,2.6
C_yaw,0.0012073081672066663,0.19989539503635925,0.0007784581289465476,0.20101040513583557,-14.0,15.0,2.6
C_L,0.0006681994888454096,0.19841190265045142,0.0007399329490743898,0.19822539565385608,-14.0,20.0,2.6
C_D,-0.00020167307091563264,0.7610802513947788,0.0009061802581821279,0.7581998327391245,-14.0,20.0,2.6
C_S,0.0002543047837490376,0.15101507846092588,0.00032864292927833975,0.1508217992825497,-14.0,20.0,2.6
C_roll,0.001116418773805811,-0.2287769720286907,0.0013567527797261425,-0.22940184044408357,-14.0,20.0,2.6
C_pitch,-0.006732279822241368,0.48818907849524745,-0.005564357609801199,0.485152480742903,-14.0,20.0,2.6
C_yaw,0.0012459295207690908,0.19664334298995886,0.0005603149679806019,0.19842594082720894,-14.0,20.0,2.6
C_L,0.0009539433853822908,0.19891780019369323,0.0008185702115265468,0.19926977044571817,-14.0,25.0,2.6
C_D,0.0009663658977506224,0.7680363926317675,0.00034723748725648594,0.7696461264990523,-14.0,25.0,2.6
C_S,0.000506555643810042,0.14824927133201718,0.00027007366304530525,0.1488641244820055,-14.0,25.0,2.6
C_roll,0.0009592052221337742,-0.2253726189998538,0.0013768072417031122,-0.22645838425073408,-14.0,25.0,2.6
C_pitch,-0.006307506057091223,0.4911326593319186,-0.006193130505585309,0.4908352828980032,-14.0,25.0,2.6
C_yaw,0.0016670915300441725,0.19723569659978157,0.00037101693398390833,0.20060549054953825,-14.0,25.0,2.6
C_L,0.00275044291736846,0.2072044498860384,0.0033836468069065365,0.2055581197732394,-12.0,5.0,2.6
C_D,-0.0004524081681399988,0.7399362111447041,0.0027844013804490943,0.7315205063183725,-12.0,5.0,2.6
C_S,0.00033962262979542564,0.185661154380426,0.0013954314735011475,0.18291605138679112,-12.0,5.0,2.6
C_roll,0.000594394721631774,-0.178119562689512,0.0015826840914445008,-0.1806891150510251,-12.0,5.0,2.6
C_pitch,-0.007857929881371448,0.43857273966536797,-0.007975855834920165,0.4388793471445946,-12.0,5.0,2.6
C_yaw,0.0005701164963081539,0.2343920530021101,0.0018147596359392852,0.23115598083906916,-12.0,5.0,2.6
C_L,0.0018608733232827275,0.2113806565110912,0.0012808413991659531,0.21288873951379483,-12.0,10.0,2.6
C_D,0.00018300001020549295,0.7464590849202052,0.0010651748372770453,0.7441654303698191,-12.0,10.0,2.6
C_S,0.0002207157042471251,0.1255091183629126,0.00091567169671458,0.1237022327824972,-12.0,10.0,2.6
C_roll,0.0005884134823292473,-0.19039477838631974,0.000971659819487426,-0.191391218862931,-12.0,10.0,2.6
C_pitch,-0.007477243974094027,0.4365776291786266,-0.005851022202211168,0.43234945257173113,-12.0,10.0,2.6
C_yaw,0.0008860598399127368,0.195501926969356,0.0008950456818986386,0.19547856378019265,-12.0,10.0,2.6
C_L,0.0007227405904166163,0.1998590609024164,0.0014950978981345218,0.19785093190234984,-12.0,15.0,2.6
C_D,-0.00014471360550423243,0.740460671969242,0.0012690906214418193,0.7367847809791823,-12.0,15.0,2.6
C_S,0.0002936340904994712,0.11148280554560189,0.0008302503153541567,0.1100876033609797,-12.0,15.0,2.6
C_roll,0.0008054413442541269,-0.18890638013118843,0.0007060581195964729,-0.18864798374707853,-12.0,15.0,2.6
C_pitch,-0.006635809491637137,0.4492239938862121,-0.006098493017188285,0.4478269710526451,-12.0,15.0,2.6
C_yaw,0.0007845655229449603,0.1831503906912035,0.000934238819203866,0.18276124012093034,-12.0,15.0,2.6
C_L,0.0006621747441543954,0.19536512764959227,0.000949392979567919,0.1946183602375171,-12.0,20.0,2.6
C_D,-0.00042717807966756915,0.7317027809363869,0.001013451182452411,0.7279571448548748,-12.0,20.0,2.6
C_S,0.00018077748001889198,0.11018437131042899,0.0006559347517968085,0.1089489624038064,-12.0,20.0,2.6
C_roll,0.0011250042861925844,-0.1809860190170725,0.0006252016385830671,-0.17968653213328778,-12.0,20.0,2.6
C_pitch,-0.007012796859459011,0.45264519436659123,-0.00517985670754288,0.4478795499716093,-12.0,20.0,2.6
C_yaw,0.0008671423481788614,0.17924525550029177,0.0007182739838323938,0.17963231324759257,-12.0,20.0,2.6
C_L,0.0005983120150420304,0.19085884706018041,0.0010983520925966271,0.18955874285853846,-12.0,25.0,2.6
C_D,0.0001751778272754442,0.7272499079582148,0.001456040292904038,0.7239196655475805,-12.0,25.0,2.6
C_S,0.0004128061879988956,0.11141292169439328,0.00027212148483284364,0.11177870192262501,-12.0,25.0,2.6
C_roll,0.0011367275100592784,-0.17678424356943703,0.0006282060862544363,-0.17546208786754444,-12.0,25.0,2.6
C_pitch,-0.00640868543837514,0.45682342443008744,-0.005393283910085242,0.4541833804565337,-12.0,25.0,2.6
C_yaw,0.0009959592809450821,0.18022961753826108,0.0006702891846168645,0.18107635978871447,-12.0,25.0,2.6
C_L,0.003796444850331726,0.21366779362649113,0.001652723551072615,0.21924146900456482,-10.0,5.0,2.6
C_D,5.29258187652358e-05,0.7157838211071349,0.0017272622018661022,0.7114305465110726,-10.0,5.0,2.6
C_S,-0.0005488658493693271,0.13419895171100116,0.0008691986273176593,0.130511984071615,-10.0,5.0,2.6
C_roll,6.323548160584177e-05,-0.1361822025386564,0.002259630828128804,-0.1418928304396161,-10.0,5.0,2.6
C_pitch,-0.009028838350434732,0.3922689063965512,-0.006078099840217171,0.3845969862699855,-10.0,5.0,2.6
C_yaw,5.7508121138665646e-05,0.21392110482504487,0.00143151843862376,0.21034867799958362,-10.0,5.0,2.6
C_L,0.0015142025050438434,0.2038649252678699,0.0018379857795889126,0.20302308875405273,-10.0,10.0,2.6
C_D,-5.9693636576703635e-05,0.7152197107004223,0.0015118524866774424,0.7111336907799616,-10.0,10.0,2.6
C_S,0.00020200724091875544,0.08644209518985603,0.001094057429302979,0.08412276470005706,-10.0,10.0,2.6
C_roll,0.00045451130946139027,-0.14299433602903253,0.0005165266144920597,-0.14315557582211225,-10.0,10.0,2.6
C_pitch,-0.006602017832079874,0.41268288918775614,-0.006415361760232957,0.4121975834009542,-10.0,10.0,2.6
C_yaw,0.00038805277000370837,0.17826073476121077,0.001074512246859057,0.17647594012138687,-10.0,10.0,2.6
C_L,0.001304368967026062,0.20278683251356683,0.001123071247882748,0.20325820658333946,-10.0,15.0,2.6
C_D,0.0002949847183416042,0.7149539364963026,0.0008321178390602932,0.713557390382434,-10.0,15.0,2.6
C_S,0.0007657954574444184,0.07924568629291902,0.0003515626617973002,0.08032269156160153,-10.0,15.0,2.6
C_roll,0.0004261645968096285,-0.14470441943383652,0.0008806871096221833,-0.14588617796714917,-10.0,15.0,2.6
C_pitch,-0.006530843204325352,0.41506020508820873,-0.005772444826399741,0.4130883693056021,-10.0,15.0,2.6
C_yaw,0.0007546881351804013,0.17305401118754526,0.0006199719774431505,0.1734042731976621,-10.0,15.0,2.6
C_L,0.0008806613956106239,0.19608816687502328,0.000664300975616273,0.1966507039670086,-10.0,20.0,2.6
C_D,-0.000124386307945281,0.7059577796893048,0.00029126494014556845,0.7048770864442687,-10.0,20.0,2.6
C_S,0.0005541979721544309,0.08072302187084478,-9.666710813383721e-05,0.08241527107959427,-10.0,20.0,2.6
C_roll,0.0007096118085413139,-0.13971827132551093,0.0009852517245380547,-0.14043493510710245,-10.0,20.0,2.6
C_pitch,-0.0063735631232267,0.4264382107658979,-0.006011130155203748,0.42549588504903824,-10.0,20.0,2.6
C_yaw,0.0006273166969021803,0.16948293043877222,0.0002528405512644759,0.17045656841743026,-10.0,20.0,2.6
C_L,0.0006771600656346175,0.1897005688617354,0.0008976003242700167,0.18912742418928336,-10.0,25.0,2.6
C_D,0.00040880341737085544,0.6984563107343309,0.0008934736457377632,0.6971961681405769,-10.0,25.0,2.6
C_S,-0.00010583965297765936,0.0732114858210785,0.0005729308533824576,0.0714466825045422,-10.0,25.0,2.6
C_roll,0.0008100749471613058,-0.13199261770745999,0.0004814308539001706,-0.13113814306498103,-10.0,25.0,2.6
C_pitch,-0.006356016395997702,0.42576608557589335,-0.005245657792340563,0.42287915320638475,-10.0,25.0,2.6
C_yaw,0.000592052037983163,0.16572578940297247,0.0005576102176110243,0.16581533813594002,-10.0,25.0,2.6
C_L,0.0028811720982249954,0.20474532549040622,0.0031806726706275533,0.20396662400215956,-8.0,5.0,2.6
C_D,-0.0006475241660169303,0.6844819806125032,0.0024228067457281208,0.676499120241966,-8.0,5.0,2.6
C_S,-0.0006051003069434138,0.09744042870168478,0.0009855644258046,0.09330470039653993,-8.0,5.0,2.6
C_roll,0.0008755492061118811,-0.0890352075670733,0.001055982842815171,-0.08950433502250185,-8.0,5.0,2.6
C_pitch,-0.007836638000858398,0.36853480787752935,-0.007182031999007982,0.36683283227271823,-8.0,5.0,2.6
C_yaw,-0.0005141702477498621,0.18871885318972106,0.0014796206387676567,0.1835349968847755,-8.0,5.0,2.6
C_L,0.0016416281774363126,0.20185438292046448,0.0013319876220738882,0.20265944836440677,-8.0,10.0,2.6
C_D,-0.0001514627783254809,0.6890118637897202,0.0009884351647200728,0.6860481291378018,-8.0,10.0,2.6
C_S,0.00041309790916424787,0.06693121444644586,0.00048385381221699284,0.06674724909850872,-8.0,10.0,2.6
C_roll,-8.054401996512538e-05,-0.10279582914881868,0.000825188098597126,-0.10515073265708054,-8.0,10.0,2.6
C_pitch,-0.006674755727838784,0.37837300612220576,-0.005634196935375133,0.37566755326180024,-8.0,10.0,2.6
C_yaw,0.00015968514483455067,0.16840561016388264,0.0006423161878720716,0.1671507694519851,-8.0,10.0,2.6
C_L,0.0009801902397085572,0.20213780682088436,0.0013227931386404607,0.20124703928366142,-8.0,15.0,2.6
C_D,-7.727065697005636e-05,0.6863457881414323,0.0012956649264764656,0.6827761556244714,-8.0,15.0,2.6
C_S,0.00025230970067222135,0.057789394845335025,0.0005693983161526858,0.056964964445085815,-8.0,15.0,2.6
C_roll,0.0005617570209453069,-0.1000314681111789,0.00013870498093136613,-0.09893153280714265,-8.0,15.0,2.6
C_pitch,-0.006255684796619191,0.3783077148867868,-0.005368791501245414,0.376001792318815,-8.0,15.0,2.6
C_yaw,0.0003187708839529414,0.16328561574859735,0.0005520092031419941,0.1626791961187058,-8.0,15.0,2.6
C_L,0.0008658408011401733,0.19949530858437434,0.0006456331121226028,0.20006784857582002,-8.0,20.0,2.6
C_D,-0.0008877711415148328,0.671862630394914,0.000896362990811232,0.6672238816508662,-8.0,20.0,2.6
C_S,4.9034216030384504e-05,0.0565249296212652,0.00030679490875395315,0.05585475182018392,-8.0,20.0,2.6
C_roll,0.0006840607924013076,-0.0973685063602085,0.0005714792418547538,-0.09707579432878746,-8.0,20.0,2.6
C_pitch,-0.006940107300875283,0.38042851430015223,-0.004646068785212787,0.37446401415942976,-8.0,20.0,2.6
C_yaw,6.564614757052339e-05,0.15727438127081383,0.00021574670000066022,0.1568841198344955,-8.0,20.0,2.6
C_L,0.0011262755061111221,0.1934751217694622,0.0005063221151882218,0.19508700058586173,-8.0,25.0,2.6
C_D,0.0007630330056191991,0.6741579708924909,0.00028943200756595123,0.6753893334874294,-8.0,25.0,2.6
C_S,0.0004158260932029645,0.056815988728882195,0.00029184909544532,0.05713832892305207,-8.0,25.0,2.6
C_roll,0.0002661964866173398,-0.09324547669242508,0.0006638424075999279,-0.09427935608697981,-8.0,25.0,2.6
C_pitch,-0.005731730971479543,0.3895747320122699,-0.004942419240483597,0.38752252151168043,-8.0,25.0,2.6
C_yaw,0.0007488776547575365,0.1586351671563935,0.00017512116997281708,0.16012693401683376,-8.0,25.0,2.6
C_L,0.0038482765919914614,0.2212767124847069,0.0018324429434926452,0.22651787997080383,-6.0,5.0,2.6
C_D,-0.0007406006666257961,0.6645815672613324,0.0021189137933717885,0.6571468296653387,-6.0,5.0,2.6
C_S,-0.00041013622288265164,0.0988319173201381,0.0009165143775737423,0.09538262575895147,-6.0,5.0,2.6
C_roll,-9.233637655769501e-05,-0.09524970062522199,0.001645802868904218,-0.09976886266342297,-6.0,5.0,2.6
C_pitch,-0.008809661379086843,0.3316658993710711,-0.0056624660728459095,0.3234831915748447,-6.0,5.0,2.6
C_yaw,-0.000669313407732447,0.15251694846321986,0.001433699479376108,0.14704911495673761,-6.0,5.0,2.6
C_L,0.0016193448975247741,0.2109146795247717,0.0009179326106829549,0.21273835147056042,-6.0,10.0,2.6
C_D,-0.00033316767444956964,0.6627933022222553,0.000620279233051925,0.6603143402627515,-6.0,10.0,2.6
C_S,-0.00010975842332842684,0.0663825686519176,0.0008121301891734122,0.06398565825941283,-6.0,10.0,2.6
