Filename,sample index,Date,Folder,config,aoa,vw_actual,Dpa,Pressure,Temp,Density,vw,sideslip,C_D,C_S,C_L,C_roll,C_pitch,C_yaw,C_D_std,C_S_std,C_L_std,C_roll_std,C_pitch_std,C_yaw_std,SNR(Fx),SNR(Fy),SNR(Fz),SNR(Mx),SNR(My),SNR(Mz),aoa_kite,dyn_vis,Rey
normal_aoa_-05_vw_05,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,5.01,11.59,1006.47,24.0,1.18,5,0.0,0.0507471545823452,0.19371995901079295,-0.34067355359759377,0.4018080792266354,0.5958071442591726,0.40449750417870656,0.09660883589999267,0.10664243325077451,0.6962676305995874,0.32623043717256694,1.7128823685585726,0.32141915245681596,37.7418287878016,25.222638498211122,55.91195233594812,20.987722116396462,61.61884016540258,16.70070429220107,-12.65,1.6844015717319668e-05,140389.32518737222
normal_aoa_-05_vw_10,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,10.01,46.55,1006.1,24.3,1.179,10,0.0,0.09589942858922405,0.05731091148343779,-0.2903042627582761,0.10305817555374348,0.1640082859257636,0.1182237182756078,0.09000792147049878,0.11523632123842355,0.22907968042188834,0.2546634110089135,0.5669253295582063,0.2475692223768511,46.73655520314956,22.173275002763102,55.9280470341861,17.90218223163803,61.24853195269829,24.101117390930032,-12.65,1.6840120243088782e-05,280325.55182837194
normal_aoa_-05_vw_15,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,14.97,103.81,1006.55,25.0,1.176,15,0.0,0.10245832131019753,0.029267384750348915,-0.2904981206699287,0.04389872061919809,0.07931296018788907,0.06146593473363626,0.11534226321693987,0.10133340667422033,0.13140298709679477,0.26910953578978053,0.32160978752479286,0.24496915629916485,52.912178085795794,23.89581503265745,55.96258636594973,16.709857768735365,60.647955817206345,27.419718411103016,-12.65,1.6831036436698292e-05,418387.0688228034
normal_aoa_-05_vw_20,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,19.98,185.35,1006.55,25.7,1.173,20,0.0,0.10093983292140295,0.021153607079925807,-0.28640031861193394,0.027869782839646366,0.05467431582095736,0.046066702523512665,0.10972847516939101,0.09785087065808379,0.11030945478616437,0.25061490436933803,0.29043729764530607,0.23309671530133827,57.49412319238402,27.383496319724888,56.01051220107216,18.041396041680375,59.71311311584134,31.962140049975925,-12.65,1.6821960550570507e-05,557284.3885715846
normal_aoa_-05_vw_25,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,25.02,284.5,1006.63,27.5,1.166,25,0.0,0.09707569054931592,0.016320256994855096,-0.2911557600277328,0.02109314049177645,0.0515681972078567,0.03604480763821059,0.0912176443409813,0.1056814147985404,0.12965750242428925,0.28873600768463015,0.350084632458532,0.25799806232420275,61.25803735014525,31.561861234865106,56.074703843412884,18.729072255983915,58.405454069006694,33.50552369423427,-12.65,1.679865920820531e-05,694658.2971514842
normal_aoa_00_vw_05,0,8-4-2024,data/,normal,0.1,5.02,11.79,1009.91,22.4,1.19,5,0.0,0.08651613663436607,0.21024384580932204,-0.24163253353036412,0.348313778226753,0.22342257971740437,0.4916117119171481,0.16877604212526445,0.10032184637757477,0.7737976874926272,0.26978888011865887,1.9829472831267532,0.34478957619671213,37.979576946356644,24.585751574122177,55.90364118820019,19.916647695731232,61.61961890460873,17.165700953041338,-7.15,1.6864815883394702e-05,141686.69355902958
normal_aoa_00_vw_10,0,8-4-2024,data/,normal,0.1,10.0,46.9,1009.9,22.5,1.19,10,0.0,0.07149490998140309,0.046082735149453095,-0.22477887944407113,0.08011681959908472,0.08736013083543197,0.11134968141957995,0.11543952400117335,0.09543185094154903,0.25231813560894795,0.2543416185192637,0.6384397718988591,0.24450706110062745,46.48932155899433,22.418483052885133,55.906968378004365,18.376727004731364,61.2268952531761,22.395409923978093,-7.15,1.686351467945045e-05,282266.18771236594
normal_aoa_00_vw_15,0,8-4-2024,data/,normal,0.1,15.01,105.42,1009.88,23.0,1.188,15,0.0,0.07627468333895178,0.019550095350852476,-0.21638417056607812,0.032687518369706334,0.03065970041625393,0.054602640394033654,0.09825202688363319,0.1040181414633572,0.12844070906272256,0.2789607134472663,0.3347275105684851,0.25442443659259234,52.747700450244785,24.29494254184153,55.91188705606936,17.53992346060841,60.52821120478219,28.614778973897526,-7.15,1.6857011040558605e-05,423132.66467218474
normal_aoa_00_vw_20,0,8-4-2024,data/,normal,0.1,20.01,186.1,1009.93,23.6,1.185,20,0.0,0.0697803359355291,0.007915496015142841,-0.21738813703381007,0.012679285782223871,0.027693218870702387,0.028227073957024663,0.10629689978833191,0.1132727577970321,0.10882339243798579,0.32633661717403106,0.29791977815216697,0.2890657371315428,57.22693422786053,29.09505044581499,55.926272956505144,17.192656139924907,59.49215230357734,31.20583453703409,-7.15,1.6849211928387722e-05,562918.9092232863
normal_aoa_00_vw_25,0,8-4-2024,data/,normal,0.1,25.02,291.0,101.02,25.2,1.179,25,0.0,0.06926378056815032,0.014196864280591288,-0.22334265678790563,0.01892722727690981,0.025315695641475053,0.04236189945302132,0.09222510256100652,0.1566652104506088,0.16463809302707277,0.47755412396106184,0.46615979063275437,0.4028247042672371,61.00989688690682,35.23858024430172,55.94564087967002,18.682025653682516,57.95187896454623,32.694220670142144,-7.15,1.682844251639659e-05,701160.0739939759
