alpha,cl,cd,cm
-40.0,-1.087867124877087,0.3656912033220616,0.009069711416574366
-38.9873417721519,-1.0817201340052083,0.36268526859168926,0.007685049167823921
-37.9746835443038,-1.073610589290265,0.359280334549977,0.006289381049167292
-36.962025316455694,-1.0635420411892527,0.355409492872187,0.004870577576499974
-35.949367088607595,-1.0515468961341394,0.351000761062693,0.0034142146121548256
-34.936708860759495,-1.0376644417401946,0.34600648733402417,0.001911166944513848
-33.92405063291139,-1.0219314820424572,0.34041997689677056,0.00036125996012606465
-32.91139240506329,-1.0043847502060743,0.33427530996561855,-0.0012273366076501757
-31.89873417721519,-0.9850680855677667,0.32763570164439193,-0.0028407537991921306
-30.88607594936709,-0.9640407129707458,0.32057880212068535,-0.004461405331488644
-29.873417721518987,-0.9413862088302679,0.31318356086041904,-0.006067267036898749
-28.860759493670884,-0.9172151242868711,0.3055150040254266,-0.007629220769672013
-27.848101265822784,-0.8916413836630181,0.2976038110301213,-0.009113974222876131
-26.835443037974684,-0.8647284939554394,0.28944342408119916,-0.010500138283171506
-25.82278481012658,-0.836457556194389,0.2810274835163342,-0.011792204843303802
-24.81012658227848,-0.8067625895781765,0.27238454189532435,-0.013009371064706607
-23.79746835443038,-0.7755915882444467,0.2635646195545495,-0.01416349849698409
-22.78481012658228,-0.7429368677917858,0.2546005578355083,-0.015249992185967037
-21.772151898734176,-0.7088308881476664,0.24548242424534827,-0.016248504329846175
-20.759493670886073,-0.6733279359546129,0.2361615571919262,-0.01712196901189482
-19.746835443037973,-0.6364912082507149,0.22658259573100828,-0.01781057656497545
-18.734177215189874,-0.5983999499921504,0.21671732029743399,-0.018229324568151767
-17.72151898734177,-0.559160162729712,0.2065703662435696,-0.018284316881180318
-16.708860759493668,-0.5188668139506114,0.1961699829264268,-0.01790339491366197
-15.696202531645568,-0.47758531188532727,0.18556138713268236,-0.017060470047752227
-14.683544303797468,-0.4354211498894685,0.17479908636760316,-0.01577876002569229
-13.670886075949365,-0.3925012819802983,0.16394556131543292,-0.014105369460459635
-12.658227848101262,-0.34905192258701734,0.1530688181678308,-0.012064888540793108
-11.645569620253163,-0.30606372688494154,0.14214100191244158,-0.009601939008416313
-10.632911392405063,-0.26290174298877167,0.13051952942233855,-0.006810298160476527
-9.62025316455696,-0.19906624250768062,0.11859235559782563,-0.005209272968069018
-8.607594936708857,-0.13537746069093148,0.10979702643025019,-0.0034403920798831873
-7.594936708860757,-0.09901917486405559,0.10108859167150484,4.616651018603257e-05
-6.582278481012658,-0.059791829354245096,0.09371593735007062,0.0029911516061335037
-5.569620253164558,-0.021369767559713926,0.08755341958612602,0.00602237652263057
-4.556962025316452,0.015134739434306377,0.08167169276400331,0.008979818438165638
-3.544303797468352,0.05320398443768298,0.07633098092059513,0.011978799548712879
-2.5316455696202524,0.10120616964330073,0.07141004249730559,0.015427104872118768
-1.5189873417721458,0.16805792259481073,0.06665723370349526,0.01982113826369908
-0.5063291139240462,0.2564286784566747,0.06197896995102709,0.025370328552821057
0.5063291139240533,0.3634316891864586,0.05745739725329474,0.032239530196495954
1.5189873417721529,0.4861527165103165,0.05315577401328005,0.041444144708508664
2.5316455696202524,0.6198860071481026,0.048776649296106714,0.053888643758242684
3.544303797468359,0.7557990283436389,0.04320534581774347,0.06913667908007724
4.556962025316459,0.8923645449328123,0.03514720346194262,0.0862936921873838
5.569620253164558,1.0132850497474934,0.03349566848073266,0.10327555642379453
6.582278481012665,1.1168384291736257,0.03497668966146039,0.1194566765257459
7.594936708860764,1.2122628117782575,0.03553557045095237,0.13444953473178356
8.607594936708864,1.2858537513862072,0.0378582275758648,0.14458241643116831
9.620253164556964,1.328612306214712,0.045300569131852,0.14790430307161243
10.632911392405063,1.351963868465322,0.061176719827859036,0.14637787917433306
11.64556962025317,1.3766148551080934,0.07521156423904271,0.14734059975749847
12.65822784810127,1.3913317289072986,0.07989493090501842,0.14950306127133964
13.670886075949369,1.3645383994466431,0.09159792934045272,0.13972424657114588
14.683544303797476,1.3366493846423226,0.10700016440232017,0.1259249963082143
15.696202531645575,1.3180104315590835,0.12375288174445208,0.11336286883904448
16.708860759493675,1.2938547171110186,0.14373639367235272,0.09879535260421018
17.721518987341774,1.254744485116539,0.16920717245004274,0.0795091722551909
18.734177215189874,1.2104373605242222,0.1972346003123724,0.05788978358626838
19.74683544303798,1.1834056294734467,0.2188114692082595,0.03969388703380619
20.75949367088608,1.1799519169619994,0.23122085177968912,0.027277390954760644
21.77215189873418,1.1875122045612796,0.2395206116981949,0.019004226013162012
22.784810126582286,1.1985070833207665,0.24524810377356027,0.0137224209633027
23.797468354430386,1.209223036858123,0.24922850753726675,0.010323622684362155
24.810126582278485,1.2199122409833902,0.2533019869899919,0.007582410833916919
25.822784810126592,1.2342551348846684,0.258747555472272,0.0048695783712922325
26.835443037974684,1.2532115793037053,0.2658786539187865,0.002041803379084134
27.84810126582279,1.2748945187951866,0.2744893736483479,-0.0008408919890227351
28.860759493670884,1.2974051250187848,0.2841647834777677,-0.0036771020880964067
29.87341772151899,1.3196601471151421,0.29436080541582715,-0.006406598847327916
30.886075949367097,1.3407859167532532,0.3045125455014782,-0.00903458339995486
31.89873417721519,1.3599256757948168,0.3141829713918219,-0.011590687868838573
32.911392405063296,1.3765689424772685,0.3230898712309203,-0.01407330321375072
33.9240506329114,1.3905324935029963,0.33108734366072384,-0.016452237874724662
34.936708860759495,1.401772583321598,0.3381274626383821,-0.01869543235599902
35.9493670886076,1.4102931656748363,0.3442072736299279,-0.020781148717182646
