alpha,cl,cd,cm
-40.0,-1.2855752193730785,0.8263518223330695,1.096622711232151
-38.9873417721519,-1.2582973651632403,0.7916561295883765,1.0688601109477927
-37.9746835443038,-1.2306264566926655,0.7572207379559724,1.0410975106634346
-36.962025316455694,-1.202571137521114,0.7230886703994132,1.013334910379076
-35.949367088607595,-1.1741401712866921,0.6893025709145714,0.9855723100947179
-34.936708860759495,-1.145342438968351,0.6559046512509855,0.9578097098103596
-33.924050632911396,-1.1161869361117391,0.6229366381732558,0.9300471095260013
-32.91139240506329,-1.0866827700192627,0.590439721328369,0.9022845092416432
-31.89873417721519,-1.0568391569052389,0.5584545017840881,0.8745219089572849
-30.88607594936709,-1.0266654190170277,0.5270209413027045,0.8467593086729266
-29.873417721518987,-0.9961709817230417,0.4961783124135244,0.8189967083885684
-28.860759493670887,-0.9653653705685448,0.4659651493464719,0.7912341081042101
-27.848101265822784,-0.9342582083001578,0.43641919988811056,0.7634715078198518
-26.83544303797468,-0.9028592118600023,0.40757737822023227,0.7357089075354936
-25.82278481012658,-0.8711781893504201,0.37947571879993824,0.7079463072511353
-24.81012658227848,-0.8392250369702163,0.3521493313388305,0.6801837069667771
-23.79746835443038,-0.8070097359233853,0.32563235693756604,0.6524211066824188
-22.784810126582276,-0.774542349301282,0.29995792543057453,0.6246585063980605
-21.772151898734176,-0.7418330189392149,0.2751581139942348,0.5968959061137024
-20.759493670886073,-0.7088919622484422,0.2512639070702234,0.5691333058293441
-19.746835443037973,-0.6757294690245589,0.22830515765410614,0.5413707055449858
-18.73417721518987,-0.6423558982332747,0.20631054999753856,0.5136081052606276
-17.72151898734177,-0.6087816747745844,0.18530756377067395,0.4858455049762693
-16.708860759493668,-0.5750172862263427,0.16532243972955388,0.4580829046919111
-15.696202531645568,-0.5410732795682599,0.14638014693137616,0.4303203044075528
-14.683544303797467,-0.5069602578873429,0.1285043515386006,0.4025577041231946
-13.670886075949365,-0.47268887706580975,0.1117173872508681,0.37479510383883635
-12.658227848101259,-0.4382698424525118,0.09604022740167477,0.3470325035544779
-11.645569620253163,-0.4037139055189062,0.08149245875466415,0.3192699032701198
-10.632911392405061,-0.3690318605006169,0.0680922570322734,0.29150730298576155
-9.62025316455696,-0.33423454102564265,0.055856364207311,0.2637447027014033
-8.607594936708852,-0.2993328167302555,0.04480006758583437,0.23598210241704487
-7.594936708860757,-0.26433758986365513,0.034937180707462975,0.2082195021326868
-6.582278481012656,-0.22925979188243137,0.026280026086987873,0.18045690184832858
-5.569620253164555,-0.19411038003590853,0.018839419818842417,0.15269430156397032
-4.556962025316447,-0.15890033394342845,0.01262465806366654,0.1249317012796119
-3.5443037974683516,-0.12364065216464908,0.007643505433849871,0.0971691009952538
-2.5316455696202507,-0.08834234876392302,0.003902185292563306,0.06940650071089555
-1.5189873417721433,-0.05301644986983684,0.0014053719784004614,0.04164390042653714
-0.506329113924042,-0.01767399023097987,0.00015618496534238596,0.01388130014217889
0.5063291139240478,0.017673990230980072,0.00015618496534238952,-0.013881300142179047
1.5189873417721491,0.05301644986983704,0.001405371978400472,-0.0416439004265373
2.5316455696202507,0.08834234876392302,0.003902185292563306,-0.06940650071089555
3.5443037974683578,0.12364065216464928,0.007643505433849897,-0.09716910099525396
4.5569620253164524,0.15890033394342865,0.01262465806366657,-0.12493170127961205
5.569620253164555,0.19411038003590853,0.018839419818842417,-0.15269430156397032
6.582278481012661,0.22925979188243156,0.026280026086987915,-0.18045690184832872
7.5949367088607636,0.26433758986365535,0.03493718070746304,-0.20821950213268697
8.607594936708864,0.29933281673025597,0.044800067585834505,-0.23598210241704523
9.62025316455696,0.33423454102564265,0.055856364207311,-0.2637447027014033
10.632911392405061,0.3690318605006169,0.0680922570322734,-0.29150730298576155
11.645569620253168,0.4037139055189064,0.08149245875466424,-0.31926990327011995
12.65822784810127,0.4382698424525122,0.09604022740167494,-0.34703250355447823
13.670886075949365,0.47268887706580975,0.1117173872508681,-0.37479510383883635
14.683544303797476,0.5069602578873432,0.12850435153860076,-0.40255770412319486
15.696202531645575,0.5410732795682601,0.1463801469313763,-0.43032030440755303
16.708860759493675,0.5750172862263428,0.16532243972955396,-0.45808290469191126
17.72151898734177,0.6087816747745844,0.18530756377067395,-0.4858455049762693
18.73417721518987,0.6423558982332747,0.20631054999753856,-0.5136081052606276
19.74683544303798,0.6757294690245591,0.22830515765410628,-0.541370705544986
20.75949367088608,0.7088919622484424,0.25126390707022356,-0.5691333058293443
21.772151898734183,0.7418330189392152,0.27515811399423495,-0.5968959061137025
22.784810126582283,0.7745423493012822,0.2999579254305747,-0.6246585063980608
23.797468354430382,0.8070097359233855,0.32563235693756626,-0.652421106682419
24.810126582278485,0.8392250369702166,0.3521493313388307,-0.6801837069667772
25.822784810126592,0.8711781893504205,0.3794757187999385,-0.7079463072511356
26.83544303797468,0.9028592118600023,0.40757737822023227,-0.7357089075354936
27.848101265822788,0.9342582083001579,0.4364191998881106,-0.763471507819852
28.860759493670887,0.9653653705685448,0.4659651493464719,-0.7912341081042101
29.873417721518994,0.996170981723042,0.4961783124135246,-0.8189967083885685
30.886075949367093,1.026665419017028,0.5270209413027047,-0.8467593086729268
31.89873417721519,1.0568391569052389,0.5584545017840881,-0.8745219089572849
32.911392405063296,1.086682770019263,0.5904397213283692,-0.9022845092416433
33.9240506329114,1.1161869361117396,0.6229366381732563,-0.9300471095260017
34.936708860759495,1.145342438968351,0.6559046512509855,-0.9578097098103596
35.9493670886076,1.1741401712866923,0.6893025709145716,-0.985572310094718
