CL,CL_ci,CD,CD_ci,aoa
-0.28723898239983975,0.011347296877347791,0.09763217625436207,0.01293935186309543,-12.36503851239693
-0.21981286260329702,0.01259440771785429,0.06827127417627257,0.01552780886156623,-7.020193078390503
-0.0007464447499471248,0.010952212784165978,0.048701554517399194,0.007669778817876735,-2.9993894081945434
0.07583970017638743,0.009769884025414264,0.0573445367767901,0.008890319426233504,-2.262036874744285
0.47686328689636465,0.009712599736984613,0.0555503739831662,0.009090611538923614,1.9099258313187737
0.6254354387817119,0.004638148402460568,0.07345214270676538,0.004625678143758501,4.28839381107656
0.761611525970119,0.009702399690803176,0.08539360406508294,0.009644690271021517,6.1770017717564425
0.9095856415100677,0.010903998767691478,0.10067469557617968,0.009016296965868633,8.055958945244765
0.9487046530428671,0.014594392184040336,0.17405961616798818,0.015076507148271998,10.223959593810935
0.9560433287683073,0.016274443679032493,0.18691543931035373,0.016940320494113953,11.217956557067525
0.9751132923953474,0.014937678615753444,0.2108080304019315,0.018045118254063408,12.002357326820606
1.0016026123701323,0.018555624139969796,0.22582609079832242,0.020457271692678275,13.180689063081232
1.0337767427146398,0.017075318496547358,0.24217199691024335,0.018380210798851403,14.954370624459425
1.0949103548594992,0.01587725392972607,0.3174556891522045,0.022970527469546247,16.90436332972493
1.035243646328576,0.015833850021652555,0.35499037418868024,0.015152878282814131,18.953170697303225
1.0229126494969896,0.01210639931849913,0.41758747992409234,0.011613542517131075,21.763257452711464
0.9994050098722363,0.0133427284371833,0.43294776825630155,0.012177067058693128,23.18248670192451
