Date;Folder;Filename;config;aoa;sideslip;vw;Dpa;Pressure;Temp;Density;;rows;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-2;10,04;47,2;1005,59;21,2;1,19;;44;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-4;10,03;47,12;1005,51;21,2;1,19;;45;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-6;10,03;47,15;1005,51;21,2;1,19;;46;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-8;10,04;47,15;1005,55;21,2;1,19;;47;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-10;10,03;47,22;1005,53;21,2;1,19;;48;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-12;10,03;47,15;1005,51;21,3;1,19;;49;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-14;10,03;47,08;1005,53;21,3;1,19;;50;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_10;without;-5;-20;10,03;47,15;1005,55;21,3;1,19;;51;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-20;15,02;105,5;1005,57;22;1,187;;52;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-14;15,02;105,47;1005,57;22,1;1,186;;53;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-12;15,02;105,48;1005,59;22,2;1,186;;54;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-10;15,02;105,48;1005,6;22,2;1,186;;55;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-8;15,02;105,4;1005,57;22,3;1,186;;56;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-6;15,03;105,49;1005,6;22,3;1,186;;57;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-4;15,02;105,43;1005,6;22,4;1,186;;58;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;-2;15,02;105,39;1005,63;22,4;1,185;;59;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;0;15,02;105,42;1005,65;22,4;1,185;;60;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;2;15,02;105,42;1005,6;22,5;1,185;;61;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;4;15,02;105,38;1005,62;22,5;1,185;;62;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;6;15,02;105,32;1005,57;22,5;1,185;;63;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;8;15,03;105,32;1005,6;22,6;1,185;;64;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;10;15,02;105,35;1005,65;22,6;1,185;;65;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;12;15,02;105,32;1005,63;22,6;1,184;;66;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;14;15,02;105,33;1005,61;22,6;1,184;;67;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_15;without;-5;20;15,02;105,29;1005,62;22,7;1,184;;68;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;20;20,02;185,79;1005,72;23,8;1,18;;69;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;14;19,91;184,56;1005,68;24;1,179;;70;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;12;19,86;183;1005,7;24;1,179;;71;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;10;19,88;183,08;1005,69;24,2;1,178;;72;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;8;19,83;183;1005,69;24,3;1,178;;73;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;6;19,91;184,6;1005,71;24,3;1,178;;74;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;4;19,89;185;1005,71;24,4;1,177;;75;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;2;19,98;183;1005,68;24,5;1,177;;76;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;0;19,96;183;1005,7;24,6;1,177;;77;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;-2;20,03;184;1005,64;24,6;1,176;;78;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;-4;20,01;183;1005,62;24,7;1,176;;79;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;-6;19,96;185;1005,64;24,8;1,176;;80;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;-8;19,93;184;1005,63;24,8;1,176;;81;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;-10;19,91;183;1005,63;24,9;1,175;;82;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;-12;20,02;183;1005,63;25;1,175;;83;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;-14;20,02;183;1005,65;25;1,175;;84;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_20;without;-5;-20;19,91;183;1005,64;25,1;1,175;;85;;;;;;;;;
;;;;;;maybe use average wind speed for postprocessing as the values in this measurement set changed much faster and the instantaneously written down value changed the next moment already;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;-20;25,13;283;1005,7;27,1;1,167;;86;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;-14;24,88;287;1005,73;27,3;1,166;;87;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;-12;24,89;290;1005,71;27,5;1,165;;88;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;-10;24,69;289;1005,73;27,6;1,165;;89;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;-8;25,02;286;1005,74;27,7;1,165;;90;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;-6;24,87;288;1005,76;27,8;1,164;;91;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;-4;25,07;285;1005,75;28;1,164;;92;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;-2;24,92;282;1005,74;28,3;1,162;;93;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;0;25,03;283;1005,77;28,4;1,162;;94;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;2;24,94;285;1005,79;28,6;1,161;;95;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;4;24,91;282;1005,77;28,6;1,161;;96;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;6;24,75;281;1005,8;28,7;1,161;;97;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;8;25;285;1005,79;28,9;1,16;;98;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;10;24,95;287;1005,78;29,1;1,159;;99;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;12;24,97;281;1005,82;29,1;1,159;;100;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;14;24,93;283;1005,78;29,2;1,159;;101;;;;;;;;;
4-4-2024;data/without/aoa_-05;without_aoa_-05_vw_25;without;-5;20;24,84;281;1005,78;29,5;1,158;;102;;;;;;;;;
;;;;;;maybe use average wind speed for postprocessing as the values in this measurement set changed much faster and the instantaneously written down value changed the next moment already;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
4-4-2024;data/normal/aoa_-05;normal_aoa_-05_vw_00;normal;-5,4;0;0;-0,2;1006,63;25,9;1,173;;1;;;;;;;;;
4-4-2024;data/normal/aoa_-05;normal_aoa_-05_vw_05;normal;-5,4;0;5,01;11,59;1006,47;24;1,18;;2;;;;;;;;;
