Filename,sample index,Date,Folder,config,aoa,vw_actual,Dpa,Pressure,Temp,Density,vw,SNR_F_X,SNR_F_Y,SNR_F_Z,SNR_M_X,SNR_M_Y,SNR_M_Z,F_X_load_ratio,F_Y_load_ratio,F_Z_load_ratio,M_X_load_ratio,M_Y_load_ratio,M_Z_load_ratio,sideslip,C_D,C_S,C_L,C_roll,C_pitch,C_yaw,C_D_std,C_S_std,C_L_std,C_roll_std,C_pitch_std,C_yaw_std,aoa_kite,dyn_vis,Rey
normal_aoa_-05_vw_05,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,5.01,11.59,1006.47,24.0,1.18,5,0.12812371165408956,5.737266916112512,-0.032070505254312896,0.6268550685826569,-0.015052592571762169,1.4883344023034175,0.0003853054931376474,-0.0002720615067197067,1.7223693151049753e-06,0.000360946459271783,3.668517597341392e-05,0.000988651902610715,0.0,0.0507471545823452,0.19371995901079295,-0.34067355359759377,0.4018080792266354,0.5958071442591726,0.40449750417870656,0.09660883589999267,0.10664243325077451,0.6962676305995874,0.32623043717256694,1.7128823685585726,0.32141915245681596,-12.65,1.6844015717319668e-05,140389.32518737222
normal_aoa_-05_vw_10,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,10.01,46.55,1006.1,24.3,1.179,10,0.2467612941470191,2.5504307597303244,-1.2342205596487164,0.9539043307627963,0.04569977604534253,0.9476962811726944,0.0008295089214762403,-6.601698402925095e-05,3.131889661458029e-05,0.0001929638117468784,-0.00011782465040297607,-0.0008972938359318681,0.0,0.09589942858922405,0.05731091148343779,-0.2903042627582761,0.10305817555374348,0.1640082859257636,0.1182237182756078,0.09000792147049878,0.11523632123842355,0.22907968042188834,0.2546634110089135,0.5669253295582063,0.2475692223768511,-12.65,1.6840120243088782e-05,280325.55182837194
normal_aoa_-05_vw_15,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,14.97,103.81,1006.55,25.0,1.176,15,0.3129593786807509,0.9340975094782018,-2.241555093333561,21.881546977823017,0.11668559285627081,1.0130597981579406,0.0011396007073706165,0.00015890083386625752,3.8776009856806536e-05,1.8046388331405524e-05,-0.00032328761830061124,-0.0007174902394365103,0.0,0.10245832131019753,0.029267384750348915,-0.2904981206699287,0.04389872061919809,0.07931296018788907,0.06146593473363626,0.11534226321693987,0.10133340667422033,0.13140298709679477,0.26910953578978053,0.32160978752479286,0.24496915629916485,-12.65,1.6831036436698292e-05,418387.0688228034
normal_aoa_-05_vw_20,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,19.98,185.35,1006.55,25.7,1.173,20,0.17826206077233667,0.9712523819038974,7.197202783529264,1.0897280315523152,-0.10616569529306731,1.0471042277913916,0.000534005142012333,0.00019836711935688225,6.353934771200576e-05,0.00020530314977470864,0.00023390915126843614,-0.0007015296459201492,0.0,0.10093983292140295,0.021153607079925807,-0.28640031861193394,0.027869782839646366,0.05467431582095736,0.046066702523512665,0.10972847516939101,0.09785087065808379,0.11030945478616437,0.25061490436933803,0.29043729764530607,0.23309671530133827,-12.65,1.6821960550570507e-05,557284.3885715846
normal_aoa_-05_vw_25,0,4-4-2024,data/normal/aoa_-05,normal,-5.4,25.02,284.5,1006.63,27.5,1.166,25,0.20257702702873392,0.9905554890440921,-22.206265290332382,0.3995358683315661,-0.43242311619755647,0.8964228133808901,0.0006303012394920189,7.464332820126433e-05,5.282804847138911e-05,-1.694587043772315e-05,0.0007409168558740533,0.000349693390864453,0.0,0.09707569054931592,0.016320256994855096,-0.2911557600277328,0.02109314049177645,0.0515681972078567,0.03604480763821059,0.0912176443409813,0.1056814147985404,0.12965750242428925,0.28873600768463015,0.350084632458532,0.25799806232420275,-12.65,1.679865920820531e-05,694658.2971514842
normal_aoa_00_vw_05,0,8-4-2024,data/,normal,0.1,5.02,11.79,1009.91,22.4,1.19,5,0.12061604341007665,1.4097894211292787,0.906580727479282,1.2087894882106776,0.21690945435251807,0.7651130275907055,0.0003576621517325571,-0.0006011216419049046,-0.0005750635440795258,-0.0009002816391197171,-0.0006955963925139717,-0.0007621435277923818,0.0,0.08651613663436607,0.21024384580932204,-0.24163253353036412,0.348313778226753,0.22342257971740437,0.4916117119171481,0.16877604212526445,0.10032184637757477,0.7737976874926272,0.26978888011865887,1.9829472831267532,0.34478957619671213,-7.15,1.6864815883394702e-05,141686.69355902958
normal_aoa_00_vw_10,0,8-4-2024,data/,normal,0.1,10.0,46.9,1009.9,22.5,1.19,10,0.280167317992404,1.1019462988625581,1.3930706848481171,0.9447815594052065,-0.33413230714067915,0.9375797248443802,0.0009839270253693812,-0.00026562253818664827,0.00020707729971440923,-0.00022753491837408212,0.0006233528129142856,-0.00038021683941354476,0.0,0.07149490998140309,0.046082735149453095,-0.22477887944407113,0.08011681959908472,0.08736013083543197,0.11134968141957995,0.11543952400117335,0.09543185094154903,0.25231813560894795,0.2543416185192637,0.6384397718988591,0.24450706110062745,-7.15,1.686351467945045e-05,282266.18771236594
normal_aoa_00_vw_15,0,8-4-2024,data/,normal,0.1,15.01,105.42,1009.88,23.0,1.188,15,-0.23725086696063866,1.3212196024812428,2.3963849212553923,0.9244068508108331,-2.085339819843114,1.1301061043973377,-0.0004787132513432546,-1.4052825307901222e-05,9.798944268625579e-05,-0.00036255091539842086,0.0016715583651789984,-0.0001870471473660753,0.0,0.07627468333895178,0.019550095350852476,-0.21638417056607812,0.032687518369706334,0.03065970041625393,0.054602640394033654,0.09825202688363319,0.1040181414633572,0.12844070906272256,0.2789607134472663,0.3347275105684851,0.25442443659259234,-7.15,1.6857011040558605e-05,423132.66467218474
normal_aoa_00_vw_20,0,8-4-2024,data/,normal,0.1,20.01,186.1,1009.93,23.6,1.185,20,-0.024712268231974806,1.003822250975923,3.137734393761589,0.5433568475937107,-0.35365069564803864,0.5157954791511618,-5.9335597501409596e-05,-0.00032672341652263453,8.195812758735999e-05,-2.9899258816094515e-05,0.000643299666701278,4.183835956286659e-05,0.0,0.0697803359355291,0.007915496015142841,-0.21738813703381007,0.012679285782223871,0.027693218870702387,0.028227073957024663,0.10629689978833191,0.1132727577970321,0.10882339243798579,0.32633661717403106,0.29791977815216697,0.2890657371315428,-7.15,1.6849211928387722e-05,562918.9092232863
normal_aoa_00_vw_25,0,8-4-2024,data/,normal,0.1,25.02,291.0,101.02,25.2,1.179,25,0.10727461119559667,0.959218414608077,5.06477503236918,-0.7124765905018081,-0.13815678652485203,2.0859069521417606,0.0002981296551535806,-7.974364464667527e-05,6.989264125952882e-05,1.3224280480313971e-05,0.000301450801975208,-8.755419473083872e-05,0.0,0.06926378056815032,0.014196864280591288,-0.22334265678790563,0.01892722727690981,0.025315695641475053,0.04236189945302132,0.09222510256100652,0.1566652104506088,0.16463809302707277,0.47755412396106184,0.46615979063275437,0.4028247042672371,-7.15,1.682844251639659e-05,701160.0739939759
normal_aoa_04_vw_05,0,9-4-2024,data/,normal,4.25,4.98,11.56,1005.62,22.6,1.185,5,-0.3255577008309682,4.321787590093776,1.7082347966606453,1.2575844323600085,0.13432756728278172,0.8582681976373769,-0.0006377759776342285,-0.0001783345982110024,0.0001498975263075098,-0.0005405343089289881,-0.00039405805953597595,-0.001003757522382693,0.0,0.04662355720912924,0.1428282365865879,0.03533235140561847,0.25531614759396687,-0.09581276933578195,0.3777823618761574,0.19789873017646945,0.09694296326148588,0.7315844253530835,0.32413787326349275,1.9180079476333132,0.2648339063108758,-3.0,1.686221363405863e-05,139988.7376134398
normal_aoa_04_vw_10,0,9-4-2024,data/,normal,4.25,10.0,46.6,1005.66,22.7,1.184,10,-0.1705807383559441,0.9299510140612589,3.8788961129865123,1.0503431896712951,0.046151016404782606,0.9921771090429152,-0.0003679399215379311,0.00017038771791460177,8.04886408239505e-05,0.000633599563840578,-0.0001214664517706141,-0.0008937390907845372,0.0,0.04061848752759923,0.025007056591741492,-0.006176492724327798,0.0484013058246031,-0.005648073184590529,0.06959688999365206,0.07658457169424682,0.08785454188616222,0.2298366072595598,0.2161897597026763,0.6009709157498727,0.20458068862898418,-3.0,1.6860912747346625e-05,280886.33580915106
normal_aoa_04_vw_15,0,9-4-2024,data/,normal,4.25,15.02,104.56,1005.75,23.3,1.182,15,0.022600333598231583,1.0154115573447384,0.1656707992770656,0.8230928124052134,0.059223671832187824,1.0722765421464895,5.7633006325854996e-05,0.00016237761710454645,-1.1491451834095264e-05,-0.00018156339995644354,-0.00015691569702871,-0.00045699515199923657,0.0,0.04453539058628104,0.009520606872937635,-0.008942729041713561,0.01961974530705173,-0.010693613787252922,0.03563446413297056,0.07373875069200711,0.08859995398336504,0.12179979200732238,0.2577035852611379,0.34879484774223185,0.22815709982973809,-3.0,1.685311076644355e-05,421373.6026787293
normal_aoa_04_vw_20,0,9-4-2024,data/,normal,4.25,20.0,186.0,1005.85,24.6,1.177,20,0.12732256036011066,1.0732845324505782,0.30053602284466535,1.2376242188666646,0.10212260284169022,1.0586786029971549,0.00035883418165765104,3.291489158261299e-05,-2.4357049238336228e-05,0.00016318896228862239,-0.00028221956743273015,-0.0008136759086238499,0.0,0.04454023561300772,0.00010606917025703496,0.000653299484293287,-0.0004990019712505905,-0.003686651438349546,0.013115852542293206,0.07221320327613419,0.10382887974843036,0.1047042351961511,0.3116526306461552,0.3220159428438919,0.26635821393042936,-3.0,1.683622621601398e-05,559270.2235756288
normal_aoa_04_vw_25,0,9-4-2024,data/,normal,4.25,25.1,289.0,1005.8,25.5,1.173,25,0.2155423257672317,1.0287770198981305,-0.15266728335446833,1.9169875400259673,0.12608341830530892,0.9071167506998014,0.000681669122005919,0.00023185634306468556,7.517864307644934e-06,7.641284517876371e-05,-0.00036145471095489645,0.0004832765384642575,0.0,0.04240543270810848,-0.003257940699379464,0.009337696726371494,-0.002659902325721639,-0.005314086235326987,0.0022807362899503938,0.07914813887279465,0.15049136439822633,0.18240279726830858,0.4726834273116891,0.5339192829734535,0.3933686438804974,-3.0,1.682455285032152e-05,699984.1306198485
normal_aoa_05_vw_05,0,8-4-2024,data/,normal,5.0,5.02,11.86,1010.22,20.6,1.198,5,-0.2994269058318865,1.6407657438961016,-3.1543318407502645,1.0932062970575032,0.11942781249141182,0.919041962772056,-0.0005979299476497952,-0.00033355950465858595,4.7584398601684764e-05,-0.0012036269842832373,-0.0003451130001765379,-0.0017417372555860744,0.0,0.07622598464436213,0.16588057446379495,0.006387226829111004,0.2964351186244885,0.06647683699319706,0.41643980726087876,0.17881405855210122,0.07881037243718919,0.3413201316502838,0.23093813069859934,0.9159763162439911,0.242951851421503,-2.25,1.6888264519618945e-05,142441.1606773126
normal_aoa_05_vw_10,0,8-4-2024,data/,normal,5.0,10.0,47.11,1010.18,20.9,1.197,10,0.10574750603636708,1.0260231978100565,0.3835791892207498,0.9252460902122577,0.1993743999435186,1.0031156984556984,0.00029851259174409564,-0.0004223818479537466,-3.732043172821199e-05,-0.00041406199254529917,-0.0006261338148297036,0.0012059045857446807,0.0,0.04904299137605428,0.03253713674182059,0.039739052587776685,0.06262852990837924,0.031150854145377816,0.09127712534950239,0.07052427888025668,0.08667922034892733,0.25489263770754667,0.2240980403892014,0.6555402028587645,0.20939126550757722,-2.25,1.688435288119596e-05,283576.1627164508
normal_aoa_05_vw_15,0,8-4-2024,data/,normal,5.0,15.01,106.01,1010.2,21.6,1.194,15,0.20271197015520587,1.0398035064883424,0.18602086751068475,0.20470692297286014,0.2533552435130282,0.9192315090128127,0.0006335293146595125,9.214659176046425e-05,-1.325749895659176e-05,-1.0480690170436455e-05,-0.0008470063943537913,0.0003696438430247701,0.0,0.05028060832096162,0.020918057295411106,0.04952685755908457,0.03312841024916905,0.0006263781606085066,0.061859891438115704,0.06809668875948131,0.0936064989540158,0.13253751940021488,0.27667313468975974,0.35980115827659165,0.23797370083587097,-2.25,1.6875231207438334e-05,424810.53514929727
normal_aoa_05_vw_20,0,8-4-2024,data/,normal,5.0,20.03,188.3,1010.24,22.5,1.19,20,0.1125196589460092,1.0378421418022987,-1.0247291325349275,0.7168938156307307,0.13940970736041117,3.416494404964918,0.0003118045808369372,7.894299569091193e-05,2.8768113126172712e-05,-8.218055496570371e-05,-0.00040251232216807954,-6.524988118582773e-05,0.0,0.053471366454861995,0.004415718772145617,0.06955087536026106,0.007097566694725401,-0.025898836671404742,0.033536667633647085,0.07441417320153727,0.092121794272847,0.08397999590632951,0.2759987194950489,0.25049126929844723,0.23736704073543777,-2.25,1.686351467945045e-05,565379.173987869
normal_aoa_05_vw_25,0,8-4-2024,data/,normal,5.0,25.02,292.56,1010.24,24.5,1.182,25,0.07418916426855665,1.0789108631807465,0.6415625393930863,0.8402200796853261,0.20014435081745127,-0.7632990491630072,0.000198804396203629,9.632115074715516e-05,-0.00010181256261164861,-0.00019674238936510406,-0.0006278911046754043,-2.172640635975121e-05,0.0,0.04309028130939299,-0.0002867815392683555,0.06907741135139152,0.0002067938294514003,0.0009341890702421648,0.02594915085971846,0.08655436629107115,0.17272281683313642,0.19690945507037563,0.5517925262440194,0.564840454957426,0.45279664081137494,-2.25,1.683752406404126e-05,702565.05380523
