y,z,gamma_breukels,gamma_breukels_stall,gamma_polar,gamma_polar_stall,cl_dist_breukels,cl_dist_breukels_stall,cl_dist_polar,cl_dist_polar_stall,cd_dist_breukels,cd_dist_breukels_stall,cd_dist_polar,cd_dist_polar_stall
-0.10573723965114748,0.3279587428184337,4.520809083217861,4.533375192533854,4.997339061625947,4.926698621457334,1.0842554056300777,1.0872823085832581,1.2198067294241899,1.2012824873062267,0.2018943093395866,0.2023748257396642,0.20951247099238637,0.2065826769326849
-0.1169604539170575,0.3282899801675046,4.464991638700815,4.475876486182331,5.095188386382651,5.023888562328136,1.073441125916875,1.0760712139311428,1.2262870062363287,1.2090991111067355,0.19836227239583423,0.1987646078737669,0.21870126357714825,0.21583445611567656
-0.1281851105519998,0.3286212600860643,4.195778343552705,4.205062070679408,5.0242727312151345,4.946400482920965,1.1801816157578304,1.1832743058550363,1.2315859489013585,1.2112771654978964,0.6940427484066947,0.6962953200678761,0.2115890490387283,0.20783110856478207
-0.13931915435238132,0.32785974708614224,4.446152892645022,4.45469267704269,5.1299181329897285,5.0302547807870175,1.0584301646874918,1.0604793720192816,1.2234039150969558,1.1997999349591273,0.19995760601072074,0.20024778297950796,0.21839779259798844,0.2132874740745083
-0.15035606971535115,0.325888439238165,4.494338026998123,4.5021080438906536,5.13043807355744,5.006874678849343,1.0696458428727693,1.071511727575202,1.2231084644482855,1.1938692195795086,0.1991704013997983,0.19941890911929422,0.21569997152262482,0.20933543969395013
-0.16138639456053122,0.32379919634864823,4.478029784502523,4.485103259343254,5.025014763851486,4.871066358546175,1.0696670391388945,1.0713731360298355,1.2227583877032395,1.1830573260567594,0.1967662997542474,0.19698166946272883,0.20887498491055437,0.19981218402830803
-0.17241698700787003,0.321709902772872,4.396943301177842,4.403369330107118,5.105112330495334,4.837390362770237,1.0542349230101646,1.0557918386221805,1.2248779355298451,1.1779843803247758,0.19114521741441087,0.19132941257938121,0.21684503874959243,0.20060556315389433
-0.1834067820077668,0.31950525928932283,4.11279985425322,4.118503632667872,5.02322567595496,4.850293636909564,1.1588534325381834,1.1607913363249178,1.2254293552770188,1.180116926782839,0.6822432333789127,0.6836166325004857,0.2098132320007216,0.20299025478992716
-0.19397248413136167,0.31598634571021333,4.3433295907349185,4.348761991002167,5.128195299610141,4.9638014308254075,0.9626915592232282,0.9639142375609379,1.1391216630723453,1.102479450805783,0.187210445085945,0.187349405836821,0.20852343053032218,0.2025479986339387
-0.20415450194910612,0.3112673068077716,4.382942289246212,4.388020657648682,5.14864446567256,4.9862151886352795,0.9767801454017137,0.9779311684465982,1.1494227914488397,1.1130992853667678,0.18497385898201504,0.18508863843605283,0.20700877111962404,0.20081846497153738
-0.2143349643929693,0.3065489887712708,4.368256436225249,4.372987297621763,5.141479543940028,4.974764115239306,0.978551610849263,0.9796306508830097,1.1534841759681007,1.1160912324018402,0.18181750702327104,0.1819138804974081,0.20503181150985833,0.19833839734759678
-0.22451767276597118,0.3018296298186012,4.312601180055442,4.3169962487904545,5.113401222049238,4.936349288989821,0.9710914895241738,0.9721001068634091,1.1528418505939717,1.1130172498065485,0.17706923292021834,0.17714940541002902,0.20231026337013228,0.19482694637713607
-0.23479289630974023,0.2973884497728109,4.203167553888386,4.2072284191808755,5.0606443486836845,4.8656418393388075,0.9745412904056826,0.975500778174242,1.174291567584297,1.1292534587455354,0.17224521991233177,0.17231102944960064,0.20186877218455565,0.19296109379990384
-0.2454155079981872,0.2939359903529458,3.8968168725384222,3.9004673268642227,4.921798494329928,4.6989484613937655,1.122491084923731,1.1237869557178193,1.2253997435364214,1.1665853037210983,0.6528085145995818,0.6536992941341102,0.20392357304805242,0.19097064428210225
-0.2562934526908586,0.29119538196986383,4.094508524084359,4.098037166489638,4.993456372366235,4.637888004744252,1.0034064569302776,1.0042873064620983,1.2258980925565426,1.156562295276146,0.18539699013697303,0.18546496851625963,0.21336297476669844,0.19220382577540868
-0.26716899811095335,0.2884553780637048,4.062638198468117,4.0659520730789485,4.961418783118218,4.616913221462257,1.0025009225702395,1.003334272593191,1.2257702152157133,1.1573397296104553,0.17896836924596227,0.17902248581876434,0.20954158602863912,0.1949263389234189
-0.27804797536451176,0.28571450953542965,3.801211563366335,3.804227213039842,4.827047680307283,4.6350651891540995,1.109975769272227,1.1110615242172068,1.2218289609434154,1.168625502177379,0.6430484435425635,0.6437872431762869,0.20275096610901816,0.20031720713907206
-0.2887386674872615,0.28247857681388505,4.038292345036446,4.04124472245827,4.893635365563541,4.75358588786835,0.9770394330666177,0.9777693133130968,1.1871959570227029,1.1521211679077619,0.18489101277152242,0.18494131102569852,0.20615409335699478,0.20639132975790725
-0.2990431723630757,0.2781851325618971,4.071176108894318,4.073992258686453,4.86957040521701,4.774361003376322,0.9476295459846908,0.9483010874542005,1.1362683557254074,1.1128579391777715,0.17512719109422795,0.17516243237631454,0.19420504480768702,0.19683490604164736
-0.30914904348096084,0.2733272374895857,4.046124878471008,4.0487943131920225,4.821423462583764,4.769926079732167,0.9495206359249805,0.9501626399406908,1.1337647444437504,1.1204207118077723,0.17096300150572252,0.170990819960244,0.19088635667641918,0.19554560010025307
-0.319251726645983,0.2684708748671069,3.9601020104503353,3.9626143151191324,4.7457414395352195,4.747211328256325,0.9371802762858247,0.9377896841686555,1.1247732092076714,1.1236967221280827,0.16332836659610353,0.16334852518677817,0.1860153199154061,0.19386144517634488
-0.3293597572859965,0.26361194171190444,3.6776370195610277,3.6799348494266004,4.5884211316043375,4.7079993639157385,1.0683542045658008,1.0692070964731535,1.1197069284203924,1.1230662126903577,0.6200638069580854,0.6206214768143149,0.18066473673925473,0.19158228132382507
-0.33890772734113006,0.2579319828678651,3.897690725363801,3.8999584997322527,4.614335484048169,4.644875028825661,0.835610523046643,0.836112132213027,0.9940839419803298,1.0009775761685713,0.16351303169909026,0.16353478904161067,0.17038824165799407,0.16996675666939656
-0.347611989976805,0.25098320963861237,3.936889487902379,3.9390728312564938,4.570110853706664,4.577723100094632,0.7877344254041626,0.7881875069155729,0.9189983758818168,0.9205704220613261,0.1520911021823405,0.15210204768669908,0.15596178340117844,0.15602911647507142
