aoa,CL,CD,CS,CMx,CMy,CMz
-14.0,-0.9967432676152216,0.1112175910188161,-6.772333686673522e-17,4.212075274645601e-16,0.05648472632614528,1.7197294834328257e-16
-12.852941176470589,-0.9052111020801221,0.09967565342847762,3.210779354593769e-16,7.969449125009741e-16,0.03764654021842165,8.762207300408603e-17
-11.705882352941178,-0.8120151311769308,0.08914129920708365,4.053926454937285e-17,1.153084804718988e-16,0.019826962910759728,1.5239772540308533e-16
-10.558823529411764,-0.7175807639795071,0.0796734486019012,1.7377803757731043e-17,-3.349785590636003e-16,0.003583351769357215,1.2635681449136294e-17
-9.411764705882353,-0.6222819821816442,0.07131518129492513,2.4000997680087314e-16,-4.2453316260950074e-16,-0.010632126583649471,-3.604132344020262e-17
-8.264705882352942,-0.5264517458801267,0.06409534770360263,1.767377608450505e-17,3.5247773446912104e-16,-0.02245272772494084,-8.463419767855345e-17
-7.11764705882353,-0.43039015416046367,0.05802975007901589,1.2293422001363264e-16,3.764500211389013e-16,-0.03158225794916103,-4.312190749321418e-17
-5.970588235294118,-0.33437078341778825,0.053122047038985584,3.1331435365707407e-16,1.3644803863429207e-15,-0.03778362578468057,-1.3785147398647337e-16
-4.8235294117647065,-0.23864523405558516,0.04936432967864471,-3.6789034973694066e-16,-1.3437644507525618e-15,-0.04086954999570414,1.0734328736805671e-16
-3.6764705882352953,-0.14344603341533477,0.04673696865314597,-8.161192977556919e-17,-2.4889805651732526e-16,-0.040693285787287974,-1.7073573288757548e-19
-2.529411764705884,-0.048988818626180264,0.0452064155634927,-4.972985578433607e-17,-1.4807984346266766e-16,-0.03713471306017291,3.487710369638227e-18
-1.382352941176471,0.04454122029078756,0.04471314950825039,-8.230551327759729e-17,-3.1406219456941656e-16,-0.030062626596525335,-1.252680648903407e-18
-0.23529411764705976,0.13695260157446085,0.045071851646416514,6.29120078768092e-17,3.5605081270520307e-16,-0.0190066315245609,-1.8565655128340275e-17
0.9117647058823515,0.2279340387601056,0.046363539098017985,-2.0993219564785847e-16,-9.033058507971994e-16,-0.00438320862524409,-1.4901022948535935e-17
2.0588235294117645,0.31735122061431015,0.048615628840268536,-1.7932020070723243e-16,-8.094556351890836e-16,0.013458743792271625,-2.816892149553853e-17
3.205882352941174,0.4050770626166289,0.05181827027224967,-6.870135668623485e-16,-1.9251567376984274e-15,0.03424932757836376,-2.9386341503954294e-17
4.352941176470587,0.4909855836506147,0.055943170215938726,-6.781083775139174e-16,-1.82012209437072e-15,0.057732573730460646,-3.804684969390378e-17
5.5,0.5749424611554659,0.06095309306421409,-9.812360792209234e-16,-3.254678364124889e-15,0.08363239836067063,-1.288881573137396e-16
6.6470588235294095,0.6568029209703202,0.06680542955831553,-1.151364875582405e-16,-6.446189455943198e-16,0.11163526260130213,4.810293691789083e-17
7.7941176470588225,0.7364109492265923,0.07345197983125157,-3.882116145466549e-17,-3.328208553088472e-16,0.14138341275503097,-5.020125433077002e-17
8.941176470588232,0.8135932293756061,0.08083916675699108,-1.2778719043978093e-15,-5.535613727128264e-15,0.1724637788605001,-4.608973992836429e-16
10.088235294117645,0.8881556900104626,0.08890645350912767,3.9839826649672295e-16,5.911860844932429e-16,0.20439915623511848,1.2423622720028101e-16
11.235294117647058,0.9598752436783278,0.09758580810908184,-5.526291207343434e-16,-2.203178846043097e-15,0.23663043672403716,-9.826460035407822e-17
12.382352941176467,1.0284900448917609,0.10680003017128607,-6.850946254030444e-16,-1.6356582187866189e-15,0.26849444400398637,-3.8921808464179817e-16
13.52941176470588,1.0936848708429618,0.11646071351440127,-1.1708795344905811e-16,-3.982942972248652e-16,0.29919040325539226,2.5833058715163596e-16
14.676470588235293,1.1550691923550382,0.12646526313590148,-4.857068504519039e-16,-1.6431804887573178e-15,0.32772909652430704,-1.0281755323108024e-16
15.823529411764703,1.2121423863427243,0.1366924169967762,-4.823763486649086e-16,-1.194239539637628e-15,0.352851651654502,-1.7879247993513992e-16
16.970588235294116,0.9434142588581242,0.18650380267053857,-2.2826947013524153e-16,1.9768723437469828e-16,-1.3300913473196891,9.34265930360813e-16
18.11764705882353,0.9563056230609572,0.20603039915235644,-6.709660123535248e-16,-1.6554239729069949e-15,-1.58011399451622,2.742857176684343e-16
19.264705882352942,0.977356966104279,0.22726085850084904,3.5438620577248264e-16,1.6199109404663795e-15,-1.7991646568646693,8.322797859159681e-16
20.411764705882348,0.7542075589124172,0.2159442326894897,-5.875733699525845e-16,-1.8488947770086437e-15,-2.277051381031593,-2.81095351536646e-17
21.55882352941176,0.4624804975055824,0.15504227766419773,7.153553564833233e-16,2.862812638407878e-15,-2.180607454891985,4.071131689931452e-16
22.705882352941174,0.3532259412671897,0.12879495660570717,4.1485562884261833e-16,1.8195579241229175e-15,-2.1156539698361456,-2.209171917710542e-17
23.852941176470587,0.3595524467380797,0.1400938220776503,1.5931767532635175e-16,6.800428985221246e-16,-2.310600721641257,-4.592939680530465e-16
25.0,0.342415177491629,0.14671835201494574,-1.60306418044366e-16,-7.17782918783013e-16,-2.4819381325551717,-5.387924843749599e-16
