aoa,CL,CD,CS,CMx,CMy,CMz
-14.0,-0.4165610228229298,0.08438667396576374,-5.917332447431775e-17,-3.377103307898015e-16,-0.004556739347237988,-7.258433774769445e-18
-12.852941176470589,-0.4022239551255927,0.07797799446127456,-1.770955295917004e-18,-7.509402929959624e-17,-0.013701427736843307,-8.451418777934986e-18
-11.705882352941178,-0.38763282885284917,0.07220354525003714,-1.4623634897157087e-16,-6.308314165559202e-16,-0.02281486881342727,3.823707157021874e-17
-10.558823529411764,-0.3727673275617794,0.06706851147486267,-2.1046559632468196e-17,3.8225008719525594e-17,-0.03178513268974095,-2.6841389311564856e-18
-9.411764705882353,-0.357462158873112,0.06257531214279334,-1.0191367992637532e-16,-2.760673079246525e-16,-0.040830610798807725,1.870360465165161e-17
-8.264705882352942,-0.3414389344785215,0.05871116596669665,-1.1145146946774652e-16,-3.8635764250820342e-16,-0.05004212469421245,5.472636986001863e-17
-7.11764705882353,-0.3233796020781024,0.05544336961025451,-7.248394807126971e-17,-9.642362375598612e-17,-0.059492148679970394,9.423251518392891e-18
-5.970588235294118,-0.29777456868550156,0.05264380601492763,-8.320725314131261e-17,-3.655031387868051e-16,-0.06930182225490834,2.3682159645416856e-17
-4.8235294117647065,-0.24872336988349,0.04998744344332472,-3.113563828799538e-16,-9.58653921423711e-16,-0.07922393241242039,4.107740895265825e-17
-3.6764705882352953,-0.17443650587918563,0.047553606789045744,-2.276807779248449e-16,-9.540613776521262e-16,-0.08635298115781757,3.460739072703813e-17
-2.529411764705884,-0.07543492072240682,0.045811355250960514,-1.557611287403366e-16,-5.160376177135956e-16,-0.08815866952063256,2.0654074817573805e-17
-1.382352941176471,0.024388185202149696,0.04512096207833106,-2.031384009183284e-16,-7.638422850719397e-16,-0.08289315730297962,9.879165413820944e-18
-0.23529411764705976,0.1252939730594364,0.045510168820224364,-1.2940495566326876e-16,-2.4975915847449737e-16,-0.06996558812806013,2.2658363855819256e-17
0.9117647058823515,0.22296136551719986,0.04677986509595706,-3.1264435036789336e-16,-1.2271395730357903e-15,-0.04950304923618127,3.643846960148459e-17
2.0588235294117645,0.31457164907072066,0.0490996193040218,-1.7257463361130614e-16,-8.474035076465308e-16,-0.022558160965395087,5.053777693472232e-17
3.205882352941174,0.40340296101959894,0.05233772330477994,-3.004606983228886e-16,-1.237294637496234e-15,0.010875978464207684,2.1893764704192287e-17
4.352941176470587,0.4895327332805946,0.05646209760343809,2.3854719049354773e-16,7.286110284513613e-16,0.05044100318068591,9.442428357956349e-18
5.5,0.573159421718239,0.06152520881006922,3.4985880490578565e-16,9.11877279474338e-16,0.09595709546624262,4.2362257203410036e-17
6.6470588235294095,0.6548801936195088,0.06739185182513865,2.8918122547396264e-16,1.4771362768777835e-15,0.14706426788919777,4.020455344865691e-17
7.7941176470588225,0.7342230553348854,0.07406415298779287,-4.664133576780203e-16,-1.3262157867288124e-15,0.2034033013010181,1.83286046470268e-16
8.941176470588232,0.8110281442131924,0.08147776426718975,-4.209962415123912e-16,-2.3181557527728664e-15,0.26438596812898446,5.2834048820514666e-17
10.088235294117645,0.885453092828621,0.0895640527042287,1.7924864695790253e-16,-8.816892223550855e-17,0.32972671053018837,3.606730496477247e-17
11.235294117647058,0.9567764809053091,0.09826534670243822,-3.764247605661164e-16,-1.466862439733592e-15,0.39862198947463223,4.271857525465367e-17
12.382352941176467,1.0249359165165122,0.10748938599173742,3.55062713947966e-16,1.2334196786889594e-15,0.4704820349514595,2.628043582394727e-16
13.52941176470588,1.089899239001187,0.1171571643516154,-4.429307181251814e-16,-1.8386110421408063e-15,0.5447955785366665,1.249884541973509e-16
14.676470588235293,1.1508838744768863,0.12716909864768472,9.24760656340661e-16,2.840406666505023e-15,0.6202368470610901,2.5840976894080123e-16
15.823529411764703,1.207378734604095,0.13738050530714818,-1.790665101414262e-16,-9.555089197353035e-16,0.6958006813252865,3.649488662626483e-16
16.970588235294116,1.1020479499834137,0.14191350377704415,7.082520206407471e-17,2.0223028952805463e-16,0.6376631013533619,6.382052206719344e-17
18.11764705882353,1.0871144098401853,0.14918402518682997,-1.3504143964458036e-17,-6.457769792608617e-16,0.65289820651282,8.258660609935826e-17
19.264705882352942,1.0718522065660872,0.1555948079047067,-4.0848084026594747e-16,-9.361267024061966e-16,0.6689609798666583,-7.637083564988595e-17
20.411764705882348,1.0248048616949181,0.1591839869419847,-1.4346917033839144e-15,-5.5626592569900204e-15,0.6554952624091994,-2.3714945854993094e-16
21.55882352941176,1.0233554011035626,0.16647123205508674,6.044600547944598e-16,2.8562801408017445e-15,0.6811315840809169,2.1489937579449501e-16
22.705882352941174,1.0035977816195778,0.17208160427468205,-6.539232102403842e-16,-2.3623193956797857e-15,0.6889701480249644,3.347014228015219e-16
23.852941176470587,0.9917511658443225,0.17792487511243857,1.1630736709273105e-16,6.169647057283554e-16,0.7044602280034924,-5.542725241567668e-19
25.0,0.9727780402651273,0.1827991399765579,2.317821087387133e-16,7.749125796657426e-16,0.712349772181303,1.567007607580345e-16
