beta,CL,CD,CS,CMx,CMy,CMz
0.0,0.6675510724558111,0.06764685582743155,-7.486213450354612e-16,-3.683764479611392e-15,0.1155092701186269,-2.2535137196430833e-16
1.0526315789473684,0.6671206119705979,0.06774296150390262,-0.019700221936444804,-0.07527760150073766,0.11601268960704936,-0.00954428862881337
2.1052631578947367,0.6658258724688556,0.06803043782201788,-0.039385369871216463,-0.15050727556654472,0.11752284790551766,-0.01906575336165352
3.1578947368421053,0.6636561341646289,0.0685065900150927,-0.05903978687317513,-0.22564424386366783,0.12003967124420795,-0.028542661053539205
4.2105263157894735,0.6605885134750202,0.06916629680087688,-0.0786462288357983,-0.3006524755000611,0.12356341482994505,-0.03795443895070812
5.263157894736842,0.6565804345196414,0.06999857588353013,-0.0981826256524411,-0.3755067333631669,0.1281023370780926,-0.04727817359310134
6.315789473684211,0.6515194903997303,0.07083221141520575,-0.11726918196913026,-0.448016956581997,0.133955486983076,-0.05674143586305255
7.368421052631579,0.6455639701001654,0.07160403745032963,-0.13578722438792307,-0.5181703766527337,0.14128285954706904,-0.06590601540864469
8.421052631578947,0.6389374746684392,0.07249370485320712,-0.1549053953119354,-0.5911493482049843,0.15008865598310173,-0.0743727727020471
9.473684210526315,0.6312206920927816,0.07330817522831543,-0.17213756636851535,-0.6554495326670549,0.15947954397857284,-0.08388349541051301
10.526315789473683,0.623067402570114,0.07433724233349821,-0.1907749662594799,-0.7260150784817595,0.17052288242080382,-0.09203835521388436
11.578947368421051,0.6135884274706555,0.07525550893817134,-0.20617355220458283,-0.782473378106899,0.18096157707079327,-0.10268251995884223
12.631578947368421,,,,,,
13.68421052631579,,,,,,
14.736842105263158,,,,,,
15.789473684210526,-3958.6960918106884,5651.514996965931,1597.3311785297035,-56055.0611822486,-24541.140490035315,14636.911145869508
16.842105263157894,2679.240537249267,-4461.6775742584205,-1349.719131640966,-38123.19464875476,10844.518298590961,25888.562456800937
17.894736842105264,1628.5317947862834,-1837.2862940924888,-592.7009464213932,-24909.938699290626,2883.702280656903,21120.49227097564
18.94736842105263,1907.1013404756964,-2722.4258525874625,-933.786216651525,-25631.943971306046,6459.974186250026,18372.825052169854
20.0,1175.6272215667134,-1465.1942048656492,-532.6784142168488,-21030.70424725484,2597.7694257341354,14636.24528144651
