beta,CL,CD,CS,CMx,CMy,CMz
0.0,0.6671998425408538,0.06767682742547602,-6.865517199348549e-16,-3.3557539179943336e-15,0.041255878364997306,7.838997127359987e-18
1.0526315789473684,0.666788004290413,0.06777438091729401,-0.01968218322218445,-0.07567176340984569,0.04189869816082201,-0.007188637091178453
2.1052631578947367,0.6655423034630256,0.06805714608630975,-0.039373055024203525,-0.15137710199345222,0.04385679581141186,-0.01438138874776325
3.1578947368421053,0.6634539085898695,0.06851790192382842,-0.0588829854335157,-0.2264857801541801,0.04715108716970684,-0.02149882039139902
4.2105263157894735,0.661237420497,0.06906200093876882,-0.07729627828652955,-0.29787744231887947,0.05211382344519804,-0.02850111553126395
5.263157894736842,0.6584616075000843,0.06976930115242465,-0.09542683045567052,-0.36822295798351845,0.05837249655733949,-0.03553023417790061
6.315789473684211,0.6550575572973867,0.0706319623266581,-0.11332249148531574,-0.43773401280487517,0.06590846611802238,-0.04254745677964805
7.368421052631579,0.6512029190374724,0.07148483859245844,-0.13080378707304813,-0.5056721800696542,0.07519186307809111,-0.04933124952726754
8.421052631578947,0.6469896287162012,0.07235886978005876,-0.1476090283369722,-0.570998096018049,0.08597257247730439,-0.05592651083234581
9.473684210526315,0.6425538915397009,0.07334240285598835,-0.16377160721364115,-0.633717986091986,0.09794539307277185,-0.06244333953734682
10.526315789473683,0.6380385184604446,0.07439381743121945,-0.17862919518853895,-0.6919985301138583,0.11078205041799943,-0.06888635315199124
11.578947368421051,0.6334855864958613,0.07556073541166913,-0.19329400584589787,-0.748913142803059,0.12483479631461192,-0.07544472540935321
12.631578947368421,0.6285060148708121,0.07685262202979726,-0.20757267836478302,-0.8040435509814903,0.1397495000994271,-0.0819625066011046
13.68421052631579,0.6229814523997909,0.07818681031123609,-0.22046665940089213,-0.8546524740773046,0.15490842430959278,-0.08828483737296289
14.736842105263158,0.6171758319469165,0.07965003983039667,-0.23290020415924603,-0.9033791244809092,0.17064239688659527,-0.09447457729407474
15.789473684210526,0.611102267582101,0.08118546394025007,-0.24556809783879663,-0.9518033093177302,0.1876648743822615,-0.10089828201608161
16.842105263157894,0.6044272755752937,0.0827317586937374,-0.25642543777016236,-0.9945770617154304,0.2042131780238292,-0.10692019335985235
17.894736842105264,0.5974348963677165,0.08438013986280571,-0.26680233598989334,-1.03540180947738,0.22106303580232134,-0.11277726756261922
18.94736842105263,0.5899066349322433,0.08604566249211766,-0.27632825613903744,-1.0730843996500825,0.23795452131074296,-0.1184400840438892
20.0,0.5824547870532507,0.08777970358373936,-0.286669052680046,-1.1121549880004087,0.25651596094981904,-0.12462101539937621
