beta,CL,CD,CS,CMx,CMy,CMz
0.0,0.665557060843754,0.06823962739638788,4.474581189918783e-16,1.9994985400009535e-15,0.15427540193783823,6.696799818651222e-17
1.0526315789473684,0.6651212708620221,0.06833284803504866,-0.01969854446699934,-0.07603954299572666,0.1548944864276249,-0.005761621583636182
2.1052631578947367,0.6637754752226139,0.06862450545148122,-0.03937499857245662,-0.15201320385067874,0.15670590581680605,-0.011481397519121314
3.1578947368421053,0.6615431518363833,0.06910670849073097,-0.05906397699573999,-0.2280401489953568,0.1597290765156156,-0.01718349307386064
4.2105263157894735,0.6584186221942785,0.06976649214042108,-0.07873644275178286,-0.3040649662747056,0.163991893321489,-0.022846153806810907
5.263157894736842,0.6543334827449752,0.07060601814027669,-0.09840788204570099,-0.3802035348655785,0.16946032605213507,-0.028432814369628592
6.315789473684211,0.6490700358990827,0.07151299038438375,-0.1180200375667375,-0.45630998620314694,0.1764216010957562,-0.033752896686581706
7.368421052631579,0.6428951811688464,0.07234685291442727,-0.13743171356478712,-0.5316319905310346,0.18529813562898853,-0.038633366946659024
8.421052631578947,0.63589507065968,0.0732807629442083,-0.15665513258466585,-0.6061461010398129,0.19555926705324528,-0.043196086594295156
9.473684210526315,0.6281316687908636,0.07422001697342767,-0.17462988964756201,-0.6767225783736697,0.206857735831378,-0.047513442839199754
10.526315789473683,0.6199569713142622,0.07531155284791294,-0.1928153525788747,-0.7471420627055576,0.21959054829083605,-0.051713432755792134
11.578947368421051,0.6113648613438808,0.07652256722708417,-0.21115393600844123,-0.8174506893136824,0.23378356960812263,-0.05586818300332781
12.631578947368421,0.603055622565612,0.07795008598170003,-0.2309573453807182,-0.889311684388787,0.2501883300872929,-0.05983126946983369
13.68421052631579,0.5942345062403329,0.07938021097978593,-0.24751563757045744,-0.953075367429084,0.2661905996910816,-0.06414969410706682
14.736842105263158,0.587745382501684,0.08117151400445714,-0.2686506470231415,-1.026180999623824,0.2868044873000469,-0.06881096880825893
15.789473684210526,0.5820252578553858,0.08295977416496049,-0.28801251699938507,-1.0959023564682668,0.3082674587900071,-0.07462520926591737
16.842105263157894,0.5737453162403245,0.0848226122351916,-0.3010832478010299,-1.1457572275152639,0.32536936776009767,-0.07953203717632559
17.894736842105264,0.5648154025165505,0.08676786019331391,-0.31243373821142745,-1.1900524112084128,0.3417302685699199,-0.08425178821280674
18.94736842105263,0.5556852431677419,0.08886459378635629,-0.3221975747772821,-1.2295307857916478,0.35706040567400593,-0.08855058169555692
20.0,0.5465060600620317,0.09093079676116211,-0.33094993741902456,-1.265065156633883,0.372413025087754,-0.0928985425851016
